block,order,field,io,target_cache,evidence,meaning,confidence,notes
full_fief_list_Z5,1,building_slot_capacity,readByte,Lo/a.Ov,Z5 000000-000008,每个封地普通建筑槽位容量/最大槽数。,高,
full_fief_list_Z5,2,fief_count,readByte,loop count,Z5 000144-00014c,本次完整封地下发的封地数量。,高,
full_fief_list_Z5,3,fief_id,readLong,Lo/a.ov[fief_index],Z5 000150-00015c,封地 ID；随后按该 ID 调 Y5 和 j1。,高,
full_fief_list_Z5,4,fief_base_block,"Y5(J,String)",pv/qv/rv/...,Z5 000164-000168 calls Y5,封地基础信息、队列/增产状态和资源/士兵库存等块。,中,
full_fief_list_Z5,5,building_list_block,"j1(J,String)",Pv/Qv/Rv/Sv/Tv/Uv/Vv/Wv + T5 nested,Z5 000172-000176 calls j1,普通建筑列表与每个建筑的嵌套生产/训练块。,高,
fief_base_Y5,1,fief_flag_pv,readByte,Lo/a.pv[index],Y5 00000c-000018,封地基础 byte 字段，语义待命名。,中,
fief_base_Y5,2,fief_flag_qv,readByte,Lo/a.qv[index],Y5 00001c-000028,封地基础 byte 字段，语义待命名。,中,
fief_base_Y5,3,fief_name,readUTF,Lo/a.rv[index],Y5 00002c-000038,封地名称。,中,
fief_base_Y5,4,fief_long_sv,readLong,Lo/a.sv[index],Y5 00003c-000048,封地基础 long 字段，可能为归属/时间/坐标相关；需结合 UI。,中,
fief_base_Y5,5,fief_int_tv,readInt,Lo/a.tv[index],Y5 00004c-000058,封地基础 int 字段。,中,
fief_base_Y5,6,fief_int_uv,readInt,Lo/a.uv[index],Y5 00005c-000068,封地基础 int 字段。,中,
fief_base_Y5,7,fief_short_vv,readShort,Lo/a.vv[index],Y5 00006c-000078,封地基础 short 字段。,中,
fief_base_Y5,8,fief_short_wv,readShort,Lo/a.wv[index],Y5 00007c-000088,封地基础 short 字段。,中,
fief_base_Y5,9,base_build_queue_capacity,readByte,Lo/a.xv[index],Y5 00008c-000098; U1 000000-00002a,默认同时建筑队列容量；若 Iv/Jv 的临时队列 buff 生效，U1 用 Iv[0] 覆盖。,中,
fief_base_Y5,10,fief_short_yv,readShort,Lo/a.yv[index],Y5 00009c-0000a8,封地基础 short 字段。,中,
fief_base_Y5,11,fief_short_zv,readShort,Lo/a.zv[index],Y5 0000ac-0000b8,封地基础 short 字段。,中,
fief_base_Y5,12,fief_flag_Av,readByte,Lo/a.Av[index],Y5 0000bc-0000c8,封地基础 byte 字段。,中,
fief_base_Y5,13,fief_buff_block,"k1(index,String)",Bv/Cv/Dv/Ev/Fv/Gv/Hv/Iv/Jv,Y5 0000cc calls k1,封地临时状态：铜钱增产、粮食增产、同时建筑队列加成。,高,
fief_base_Y5,14,kv_lv_count,readByte,"Lo/a.Kv[index], Lo/a.Lv[index]",Y5 0000d2-000126,第一组封地 byte/int 列表，语义待命名。,中,
fief_base_Y5,15,kv_lv_entry_type,readByte,Lo/a.Kv[index][i],Y5 0000fa-00010a,第一组封地列表条目 byte。,中,
fief_base_Y5,16,kv_lv_entry_value,readInt,Lo/a.Lv[index][i],Y5 00010e-00011e,第一组封地列表条目 int。,中,
fief_base_Y5,17,mv_nv_count,readByte,"Lo/a.Mv[index], Lo/a.Nv[index]",Y5 000128-000178,第二组封地 byte/int 列表，语义待命名。,中,
fief_base_Y5,18,mv_nv_entry_type,readByte,Lo/a.Mv[index][i],Y5 00014c-00015c,第二组封地列表条目 byte。,中,
fief_base_Y5,19,mv_nv_entry_value,readInt,Lo/a.Nv[index][i],Y5 000160-000170,第二组封地列表条目 int。,中,
fief_buff_k1,1,copper_boost_count,readByte,Bv/Cv/Dv group length,k1 000008-000014,铜钱增产状态数量。UI 在 q.K 中以“di_提示铜钱增产”展示 Cv 百分比，q2/Dv 展示剩余时间。,中高,
fief_buff_k1,2,copper_boost_percent,readByte,Lo/a.Cv[fief][i],k1 000038-000048; q.K 000392-0003c8,铜钱增产百分比/效果值。,中高,
fief_buff_k1,3,copper_boost_deadline_delta,readLong + now,Lo/a.Dv[fief][i],k1 00004c-00005e; q2 accessor,服务端下发剩余毫秒/时间差，客户端加当前时间存为截止时间。,中高,
fief_buff_k1,4,copper_boost_type_or_item,readByte,Lo/a.Bv[i],k1 000062-00006e,铜钱增产类型/道具标记，数组为全局长度。,中,
fief_buff_k1,5,grain_boost_count,readByte,Ev/Fv/Gv group length,k1 000078-000088,粮食增产状态数量。UI 在 q.K 中以“di_提示粮食增产”展示 Fv 百分比，J2/Gv 展示剩余时间。,中高,
fief_buff_k1,6,grain_boost_percent,readByte,Lo/a.Fv[fief][i],k1 0000a6-0000b6; q.K 000312-00035e,粮食增产百分比/效果值。,中高,
fief_buff_k1,7,grain_boost_deadline_delta,readLong + now,Lo/a.Gv[fief][i],k1 0000ba-0000cc; J2 accessor,服务端下发剩余毫秒/时间差，客户端加当前时间存为截止时间。,中高,
fief_buff_k1,8,grain_boost_type_or_item,readByte,Lo/a.Ev[i],k1 0000d0-0000dc,粮食增产类型/道具标记。,中,
fief_buff_k1,9,build_queue_buff_count,readByte,Hv/Iv/Jv group length,k1 0000e6-0000f6,同时建筑队列加成状态数量。,高,
fief_buff_k1,10,build_queue_capacity_value,readByte,Lo/a.Iv[fief][i],k1 000112-000122; U1 00001e-00002a; q.K 0002da-000300,临时同时建筑队列数量/容量值；UI 文案为“re_提示同时建筑”。,高,
fief_buff_k1,11,build_queue_buff_deadline_delta,readLong + now,Lo/a.Jv[fief][i],k1 000126-000138; V1 accessor,服务端下发剩余毫秒/时间差，客户端加当前时间存为截止时间。,高,
fief_buff_k1,12,build_queue_buff_type_or_item,readByte,Lo/a.Hv[i],k1 00013c-000148,同时建筑队列加成类型/道具标记。,中,
building_list_j1,1,building_count,readByte,loop count,j1 0000b2-0000ba,本封地下发的建筑记录数量。超过 Lo/a.Ov 的记录会被消费但不入主槽数组。,高,
building_list_j1,2,slot_position_id,readByte,Lo/a.Vv[fief][i],j1 00012c-00013c; Q1/J1 accessors,建筑槽位/位置编号；请求 q.h 的第 3 字段来自 Q1，即 Vv。空槽会自动补唯一位置号。,高,
building_list_j1,3,building_instance_id,readLong,Lo/a.Pv[fief][i],j1 000140-000150; H1/K1 accessors,建筑实例/任务 ID；buildQueueAdd/buildItemUse 使用 H1 返回该 ID。,高,
building_list_j1,4,building_type,readByte,Lo/a.Qv[fief][i],j1 000154-000164; Z1/r2 accessors,建筑类型；-1 表示空槽。普通建筑升级 q.v1 第 4 字段来自 Z1。,高,
building_list_j1,5,building_level,readByte,Lo/a.Rv[fief][i],j1 000168-000178; L1 accessor,建筑等级。q.v1 用 L1 与最大等级比较。,高,
building_list_j1,6,build_timer_ms_or_task_duration,readInt,Lo/a.Sv[fief][i],j1 00017c-00018c; W1/q.L display,建筑建造/升级计时字段。UI 中 W1()/1000 显示剩余时间，T1/Y1 也以 Sv>0 判断队列状态。,中高,
building_list_j1,7,server_progress_int_unused,readInt then zeroed,Lo/a.Tv[fief][i]=0,j1 000190-0001a0 reads int; 0001b8-0001c0 overwrites 0,服务端发送但客户端立即清零，疑似旧版进度/状态字段；重建服务端可先发 0。,中,
building_list_j1,8,build_state_sign_flag,readLong sign only,Lo/a.Uv[fief][i]= +/- currentTime,j1 0001a4-0001ec; Y1 000024-000056,客户端只看该 long 的正负：负数缓存为 -now，非负缓存为 now，用于区分 Y1 返回 2/3 状态。,中高,
building_list_j1,9,nested_building_task_block,T5(String),Xm/Ym/Zm/an/bn/cn/dn/en/fn/gn/hn,j1 0001f0 calls T5,每个建筑后附加的嵌套生产/训练/资源任务块。,中高,
nested_task_T5,1,nested_action,readByte,operation mode,T5 000126-000136 / 000090-00009e,嵌套任务块操作：0 删除/清理某 building_instance_id；1 添加/更新任务列表。,中,
nested_task_T5,2,nested_owner_building_id,readLong,Lo/a.Xm slot key,T5 00012e-000134 / 000098-00009e,嵌套任务所属建筑实例 ID，与 Pv/building_instance_id 关联。,中高,
nested_task_T5,3,nested_task_count,readByte,array length,T5 0001ac-0001b4,action=1 时的嵌套任务条数。,高,
nested_task_T5,4,nested_task_id,readLong,Lo/a.Ym[nested][i],T5 000230-000240,嵌套任务/产出条目 ID。,中,
nested_task_T5,5,nested_task_state,readByte,Lo/a.Zm[nested][i],T5 000244-000254; q.C v1 checks value 3,嵌套任务状态；q.C 中值 3 会显示“人口达到”。,中,
nested_task_T5,6,nested_target_type,readShort,Lo/a.an[nested][i],T5 000258-000268; q.C y1 + data.g.u1,嵌套产出/士兵类型；UI 用 data.g.u1(type) 显示名称。,中高,
nested_task_T5,7,nested_current_amount,readInt,Lo/a.bn[nested][i],T5 00026c-00027c; q.C w1 display,当前数量/已完成数量。,中高,
nested_task_T5,8,nested_target_or_capacity,readInt,Lo/a.cn[nested][i],T5 000280-000290; q.C displays current/max,目标数量/容量上限。,中高,
nested_task_T5,9,nested_remaining_or_total_ms,readLong,Lo/a.dn[nested][i],T5 000294-0002a4; x1 accessor; q.C displays remaining time,嵌套任务剩余/总时间毫秒。,中高,
