protocol,response_opcode_hex,handler,group,order,field,io,target_cache,evidence,meaning,confidence
reqGainAward,0x8134,LscriptPages/game/m0;->u(String) + m0.n(String),top,1,status,readByte,local status,m0.u 000006-00000c,领取结果状态；0=成功，非 0=失败/错误。失败具体原因主要由后续 message UTF 承载。,高
reqGainAward,0x8134,LscriptPages/game/m0;->u(String) + m0.n(String),award_list_sync,2.0,award_list_block,m0.n(String),m0.m0/n0/o0/p0/q0/r0/s0/t0/u0,m0.u 00000e calls m0.n; m0.n 0000c4-0002a6,无论 status 成功与否，响应都会先携带/消费一个 4 类奖励列表同步块。,中高
reqGainAward,0x8134,LscriptPages/game/m0;->u(String) + m0.n(String),award_list_sync,2.1.1,category_0_available_count,readByte,record count,m0.n 0000c8-0000d6,该奖励分类下可领取/未领取记录数。,中高
reqGainAward,0x8134,LscriptPages/game/m0;->u(String) + m0.n(String),award_list_sync,2.1.2,category_0_received_count,readByte,record count,m0.n 0000c8-0000d6,该奖励分类下已领取/另一状态记录数；与 available_count 合并分配数组。,中高
reqGainAward,0x8134,LscriptPages/game/m0;->u(String) + m0.n(String),award_list_sync,2.1.3,category_0_available_record_id[i],readLong,m0.m0[cat][i],m0.n 000166-000176,可领取记录 ID。,中高
reqGainAward,0x8134,LscriptPages/game/m0;->u(String) + m0.n(String),award_list_sync,2.1.4,category_0_available_record_name[i],readUTF,m0.n0[cat][i],m0.n 00017a-00018a,可领取记录名称。,中
reqGainAward,0x8134,LscriptPages/game/m0;->u(String) + m0.n(String),award_list_sync,2.1.5,category_0_available_record_flag[i],readBoolean,m0.o0[cat][i],m0.n 00018e-00019e,可领取记录布尔标记；同时 p0[cat][i]=1 且 w0++。,中
reqGainAward,0x8134,LscriptPages/game/m0;->u(String) + m0.n(String),award_list_sync,2.1.6,category_0_received_record_id[j],readLong,m0.m0[cat][available_count+j],m0.n 0001c4-0001d8,第二组记录 ID。,中高
reqGainAward,0x8134,LscriptPages/game/m0;->u(String) + m0.n(String),award_list_sync,2.1.7,category_0_received_record_name[j],readUTF,m0.n0[cat][available_count+j],m0.n 0001dc-0001ec,第二组记录名称。,中
reqGainAward,0x8134,LscriptPages/game/m0;->u(String) + m0.n(String),award_list_sync,2.1.8,category_0_received_record_flag[j],readBoolean,m0.o0[cat][available_count+j],m0.n 0001f0-000200,第二组记录布尔标记。,中
reqGainAward,0x8134,LscriptPages/game/m0;->u(String) + m0.n(String),award_list_sync,2.2.1,category_1_available_count,readByte,record count,m0.n 0000c8-0000d6,该奖励分类下可领取/未领取记录数。,中高
reqGainAward,0x8134,LscriptPages/game/m0;->u(String) + m0.n(String),award_list_sync,2.2.2,category_1_received_count,readByte,record count,m0.n 0000c8-0000d6,该奖励分类下已领取/另一状态记录数；与 available_count 合并分配数组。,中高
reqGainAward,0x8134,LscriptPages/game/m0;->u(String) + m0.n(String),award_list_sync,2.2.3,category_1_available_record_id[i],readLong,m0.m0[cat][i],m0.n 000166-000176,可领取记录 ID。,中高
reqGainAward,0x8134,LscriptPages/game/m0;->u(String) + m0.n(String),award_list_sync,2.2.4,category_1_available_record_name[i],readUTF,m0.n0[cat][i],m0.n 00017a-00018a,可领取记录名称。,中
reqGainAward,0x8134,LscriptPages/game/m0;->u(String) + m0.n(String),award_list_sync,2.2.5,category_1_available_record_flag[i],readBoolean,m0.o0[cat][i],m0.n 00018e-00019e,可领取记录布尔标记；同时 p0[cat][i]=1 且 w0++。,中
reqGainAward,0x8134,LscriptPages/game/m0;->u(String) + m0.n(String),award_list_sync,2.2.6,category_1_received_record_id[j],readLong,m0.m0[cat][available_count+j],m0.n 0001c4-0001d8,第二组记录 ID。,中高
