offset,read_call,block,target_or_field,note,raw_instruction
0x0000,readLong(Ljava/lang/String;)J,host,host_id,"宿主 long。随后 `Lo/a.c3(0, host_id)` 查宿主 index；可能是将领/封地/活动对象，需结合 caller 定名。","v21, LscriptAPI/baseAPI/BaseIO;->readLong(Ljava/lang/String;)J"
0x004c,readByte(Ljava/lang/String;)B,host_link_ids,linked_id_count,当前宿主绑定的 bank1 装备 id 数量；写入 `Lo/a.jp[host_index]`。,"v21, LscriptAPI/baseAPI/BaseIO;->readByte(Ljava/lang/String;)B"
0x006e,readLong(Ljava/lang/String;)J,host_link_ids.item[],Lo/a.jp[host_index][i],宿主绑定装备实例 id 列表；进入 c6 前会先清理旧 jp 对应的 bank1 记录。,"v21, LscriptAPI/baseAPI/BaseIO;->readLong(Ljava/lang/String;)J"
0x0148,readByte(Ljava/lang/String;)B,bank1_updates,update_count,本次 bank1 装备记录更新数量。,"v21, LscriptAPI/baseAPI/BaseIO;->readByte(Ljava/lang/String;)B"
0x0158,readLong(Ljava/lang/String;)J,bank1_updates.item[],equipment_id,bank1 装备实例 id；若为 -1，则该条只消费 id 后跳过。,"v21, LscriptAPI/baseAPI/BaseIO;->readLong(Ljava/lang/String;)J"
0x0168,readShort(Ljava/lang/String;)S,bank1_updates.item[],data.d.e[1][slot],装备模板/类型 short，与 V5 bank0 字段 e[0] 同构。,"v21, LscriptAPI/baseAPI/BaseIO;->readShort(Ljava/lang/String;)S"
0x0170,readByte(Ljava/lang/String;)B,bank1_updates.item[],attr_vector_len,装备属性 byte 向量长度。,"v21, LscriptAPI/baseAPI/BaseIO;->readByte(Ljava/lang/String;)B"
0x0182,readByte(Ljava/lang/String;)B,bank1_updates.item[].attr[],data.d.f[1][slot][j],装备属性/品质/成长 byte 向量；排序使用前两个 byte。,"v21, LscriptAPI/baseAPI/BaseIO;->readByte(Ljava/lang/String;)B"
0x0194,readShort(Ljava/lang/String;)S,bank1_updates.item[],data.d.g[1][slot],装备 short 参数，与 V5 bank0 字段 g[0] 同构。,"v21, LscriptAPI/baseAPI/BaseIO;->readShort(Ljava/lang/String;)S"
0x01a0,readByte(Ljava/lang/String;)B,bank1_updates.item[],data.d.h[1][slot][0],装备二元 byte 参数 #0。,"v21, LscriptAPI/baseAPI/BaseIO;->readByte(Ljava/lang/String;)B"
0x01ac,readByte(Ljava/lang/String;)B,bank1_updates.item[],data.d.h[1][slot][1],装备二元 byte 参数 #1。,"v21, LscriptAPI/baseAPI/BaseIO;->readByte(Ljava/lang/String;)B"
0x01b8,readShort(Ljava/lang/String;)S,bank1_updates.item[],data.d.j[1][slot],装备 short 参数，与 V5 bank0 字段 j[0] 同构。,"v21, LscriptAPI/baseAPI/BaseIO;->readShort(Ljava/lang/String;)S"
0x01c4,readShort(Ljava/lang/String;)S,bank1_updates.item[],data.d.i[1][slot][0],装备二元 int/short 参数 #0，以 int 数组保存。,"v21, LscriptAPI/baseAPI/BaseIO;->readShort(Ljava/lang/String;)S"
0x01d0,readShort(Ljava/lang/String;)S,bank1_updates.item[],data.d.i[1][slot][1],装备二元 int/short 参数 #1，以 int 数组保存。,"v21, LscriptAPI/baseAPI/BaseIO;->readShort(Ljava/lang/String;)S"
0x01dc,readUTF(Ljava/lang/String;)Ljava/lang/String;,bank1_updates.item[],data.d.l[1][slot],装备自定义字符串/描述/绑定名候选；与 V5 bank0 字段 l[0] 同构。,"v21, LscriptAPI/baseAPI/BaseIO;->readUTF(Ljava/lang/String;)Ljava/lang/String;"
