protocol,response_opcode_hex,handler,group,order,field,io,evidence,meaning,confidence
reqRoleInfo,0x8120,LscriptPages/game/w;->e0(String),role_info,1,dispatcher_status,readByte,A6 000d20-000d3e,A6 对 0x8120 先读状态；0 表示进入 w.e0 解析，非 0 交给 data.i.x 处理,高
reqRoleInfo,0x8120,LscriptPages/game/w;->e0(String),role_info,2,S0,readByte,w.e0 000008-00002e,角色信息子类型/标志；影响后续 UI 行为,中
reqRoleInfo,0x8120,LscriptPages/game/w;->e0(String),role_info,3,R0,readLong,w.e0 000032-00003a,目标角色/君主 ID,中高
reqRoleInfo,0x8120,LscriptPages/game/w;->e0(String),role_info,4,Q0,readUTF,w.e0 00003e-000046,目标角色/君主名称,中高
reqRoleInfo,0x8120,LscriptPages/game/w;->e0(String),role_info,5,k1,readByte,w.e0 00004a-000052,角色状态/关系标志候选,中
reqRoleInfo,0x8120,LscriptPages/game/w;->e0(String),role_info,6,g1,readShort,w.e0 000056-00005e,等级/短整数字段候选,中
reqRoleInfo,0x8120,LscriptPages/game/w;->e0(String),role_info,7,unused_byte_1,readByte,w.e0 000062,被读取但未保存,中
reqRoleInfo,0x8120,LscriptPages/game/w;->e0(String),role_info,8,T0,readByte,w.e0 000068-000070,关系/国家/性别类标志候选,中
reqRoleInfo,0x8120,LscriptPages/game/w;->e0(String),role_info,9,U0,readUTF,w.e0 000074-00007c,文本字段 1，候选国家/军团/城池名,中
reqRoleInfo,0x8120,LscriptPages/game/w;->e0(String),role_info,10,V0,readUTF,w.e0 000080-000088,文本字段 2,中
reqRoleInfo,0x8120,LscriptPages/game/w;->e0(String),role_info,11,W0,readLong,w.e0 00008c-000094,长整数字段，候选国家/师徒/关系ID,中
reqRoleInfo,0x8120,LscriptPages/game/w;->e0(String),role_info,12,X0,readInt,w.e0 000098-0000a0,整数字段，候选战功/贡献/等级扩展,中
reqRoleInfo,0x8120,LscriptPages/game/w;->e0(String),role_info,13,Y0,readUTF,w.e0 0000a4-0000ac,文本字段 3,中
reqRoleInfo,0x8120,LscriptPages/game/w;->e0(String),role_info,14,Z0,readUTF,w.e0 0000b0-0000b8,文本字段 4,中
reqRoleInfo,0x8120,LscriptPages/game/w;->e0(String),role_info,15,a1,readByte,w.e0 0000bc-0000c4,字节标志,中
reqRoleInfo,0x8120,LscriptPages/game/w;->e0(String),role_info,16,b1,readLong,w.e0 0000c8-0000d0,长整数字段,中
reqRoleInfo,0x8120,LscriptPages/game/w;->e0(String),role_info,17,f1,readLong,w.e0 0000d4-0000dc,长整数字段,中
reqRoleInfo,0x8120,LscriptPages/game/w;->e0(String),role_info,18,c1,readShort,w.e0 0000e0-0000e8,短整数字段,中
reqRoleInfo,0x8120,LscriptPages/game/w;->e0(String),role_info,19,d1,readByte,w.e0 0000ec-0000f4,字节标志,中
reqRoleInfo,0x8120,LscriptPages/game/w;->e0(String),role_info,20,unused_byte_2,readByte,w.e0 0000f8,被读取但未保存,中
reqRoleInfo,0x8120,LscriptPages/game/w;->e0(String),role_info,21,e1,readByte,w.e0 0000fe-000106,字节标志,中
reqRoleInfo,0x8120,LscriptPages/game/w;->e0(String),role_info,22,h1,readShort,w.e0 00010a-000112,短整数字段,中
reqRoleInfo,0x8120,LscriptPages/game/w;->e0(String),role_info,23,i1,readShort,w.e0 000116-00011e,短整数字段,中
reqRoleInfo,0x8120,LscriptPages/game/w;->e0(String),role_info,24,j1,readLong,w.e0 000122-00012a,长整数字段,中
reqRoleInfo,0x8120,LscriptPages/game/w;->e0(String),role_info,25,unused_int_1,readInt,w.e0 00012e,被读取但未保存,中
reqRoleFiefList,0x8510,LscriptPages/game/p;->a1(String)->T(String),group_A_count,1,count_A,readByte,p.T 000000-00000a,第一组列表数量；随后创建 x4..V4 多组数组,中高
reqRoleFiefList,0x8510,LscriptPages/game/p;->a1(String)->T(String),group_A_items,A.1,x4[i],readLong,p.T 0000de-0000ea,第一组条目 ID,中
reqRoleFiefList,0x8510,LscriptPages/game/p;->a1(String)->T(String),group_A_items,A.2,y4[i],readByte,p.T 0000ee-0000fa,第一组条目类型/状态,中
reqRoleFiefList,0x8510,LscriptPages/game/p;->a1(String)->T(String),group_A_items,A.3,z4[i],readUTF,p.T 0000fe-00010a,第一组条目名称,中
reqRoleFiefList,0x8510,LscriptPages/game/p;->a1(String)->T(String),group_A_items,A.4,"B4[i], A4[i]","readShort,readShort",p.T 00010e-00012a,坐标/等级类两个 short 候选,中
reqRoleFiefList,0x8510,LscriptPages/game/p;->a1(String)->T(String),group_A_items,A.5,"C4[i],D4[i],E4[i]",readByte*3,p.T 00012e-00015a,三个状态/类型标志,中
