field,type,name_candidate,role,confidence,dex_reference_count,examples
LscriptPages/data/d;->a,[String],静态属性名表,攻击/生命/防御/统兵；按 Lo/a.S4(e) 的属性类型索引。,high,10,LscriptPages/data/d;-><clinit>()V@0x0060:sput-object || LscriptPages/data/g;->b2(JJ)V@0x0008:sget-object || LscriptPages/data/g;->c3()V@0x06ca:sget-object || LscriptPages/data/g;->c3()V@0x07b6:sget-object || LscriptPages/data/g;->c3()V@0x08da:sget-object || LscriptPages/data/g;->s4(Ljava/lang/String;)V@0x000c:sget-object || LscriptPages/game/z;->j()V@0x014e:sget-object || LscriptPages/gameHD/b;->C()V@0x0112:sget-object
LscriptPages/data/d;->b,[String],静态品质名表,普通/良好/优秀/卓越；由 f[bank][slot][0] 索引。,high,19,Lo/a;->Z0()V@0x0300:sget-object || LscriptPages/data/d;-><clinit>()V@0x00b8:sput-object || LscriptPages/data/d;->u(J)Ljava/lang/String;@0x000e:sget-object || LscriptPages/data/d;->v(I)Ljava/lang/String;@0x0000:sget-object || LscriptPages/game/k0;->l()V@0x03d0:sget-object || LscriptPages/game/k0;->l()V@0x05aa:sget-object || LscriptPages/game/k0;->l()V@0x08a0:sget-object || LscriptPages/game/k0;->q()V@0x0460:sget-object
LscriptPages/data/d;->c,String,空字符串/全局显示缓存候选,初始化为空；被少量 UI 读取，语义待复核。,low,4,LscriptPages/data/d;-><clinit>()V@0x00c0:sput-object || LscriptPages/game/k0;->f0()I@0x03da:sget-object || LscriptPages/game/k0;->f0()I@0x056a:sget-object || LscriptPages/game/z;->y()V@0x029a:sget-object
LscriptPages/data/d;->d,[[J],装备实例 id,bank0 由 V5 全量重建；bank1 由 c6 维护。,high,34,Lo/a;->V5(Ljava/lang/String;)V@0x008c:sget-object || Lo/a;->V5(Ljava/lang/String;)V@0x0132:sget-object || Lo/a;->V5(Ljava/lang/String;)V@0x0236:sget-object || Lo/a;->V5(Ljava/lang/String;)V@0x032c:sget-object || Lo/a;->V5(Ljava/lang/String;)V@0x03d0:sget-object || Lo/a;->c6(Ljava/lang/String;)V@0x0080:sget-object || Lo/a;->c6(Ljava/lang/String;)V@0x008e:sget-object || Lo/a;->c6(Ljava/lang/String;)V@0x00f6:sget-object
LscriptPages/data/d;->e,[[S],装备模板 id,用于 g3/S4/z1 等静态装备表映射名称、图标、属性类型、基础值。,high,34,Lo/a;->V5(Ljava/lang/String;)V@0x0098:sget-object || Lo/a;->V5(Ljava/lang/String;)V@0x013e:sget-object || Lo/a;->V5(Ljava/lang/String;)V@0x033e:sget-object || Lo/a;->V5(Ljava/lang/String;)V@0x03d8:sget-object || Lo/a;->c6(Ljava/lang/String;)V@0x00ac:sget-object || Lo/a;->c6(Ljava/lang/String;)V@0x020c:sget-object || Lo/a;->c6(Ljava/lang/String;)V@0x02b4:sget-object || Lo/a;->c6(Ljava/lang/String;)V@0x0454:sget-object
LscriptPages/data/d;->f,[[[B],品质与强化向量,f[][0]=品质 index；f[][1]=强化等级/强化值。,high,28,Lo/a;->V5(Ljava/lang/String;)V@0x00a4:sget-object || Lo/a;->V5(Ljava/lang/String;)V@0x015a:sget-object || Lo/a;->V5(Ljava/lang/String;)V@0x0170:sget-object || Lo/a;->V5(Ljava/lang/String;)V@0x02b2:sget-object || Lo/a;->V5(Ljava/lang/String;)V@0x02d8:sget-object || Lo/a;->V5(Ljava/lang/String;)V@0x034e:sget-object || Lo/a;->V5(Ljava/lang/String;)V@0x03e0:sget-object || Lo/a;->c6(Ljava/lang/String;)V@0x00b8:sget-object
LscriptPages/data/d;->g,[[S],强化效果百分比候选,"装备页以 g/100 + ""."" + g%100 + ""%"" 形式显示“强化效果”。",high,14,Lo/a;->V5(Ljava/lang/String;)V@0x00b0:sget-object || Lo/a;->V5(Ljava/lang/String;)V@0x018e:sget-object || Lo/a;->V5(Ljava/lang/String;)V@0x035e:sget-object || Lo/a;->V5(Ljava/lang/String;)V@0x03e8:sget-object || Lo/a;->c6(Ljava/lang/String;)V@0x00c4:sget-object || Lo/a;->c6(Ljava/lang/String;)V@0x0224:sget-object || Lo/a;->c6(Ljava/lang/String;)V@0x02cc:sget-object || Lo/a;->c6(Ljava/lang/String;)V@0x0474:sget-object
LscriptPages/data/d;->h,[[[B],强化失败风险向量,"p(J,false) 返回 h[][0]，装备页显示失败掉级率/失败损毁率百分比；h[][1] 未命名。",high,15,Lo/a;->V5(Ljava/lang/String;)V@0x00bc:sget-object || Lo/a;->V5(Ljava/lang/String;)V@0x01a2:sget-object || Lo/a;->V5(Ljava/lang/String;)V@0x01ba:sget-object || Lo/a;->V5(Ljava/lang/String;)V@0x036e:sget-object || Lo/a;->V5(Ljava/lang/String;)V@0x03f0:sget-object || Lo/a;->c6(Ljava/lang/String;)V@0x00d0:sget-object || Lo/a;->c6(Ljava/lang/String;)V@0x0230:sget-object || Lo/a;->c6(Ljava/lang/String;)V@0x02d8:sget-object
LscriptPages/data/d;->i,[[[I],强化保底次数向量,装备页显示“强化保底次数”并读取 i[][0]/i[][1]。,high,16,Lo/a;->V5(Ljava/lang/String;)V@0x00e0:sget-object || Lo/a;->V5(Ljava/lang/String;)V@0x01e6:sget-object || Lo/a;->V5(Ljava/lang/String;)V@0x01fe:sget-object || Lo/a;->V5(Ljava/lang/String;)V@0x037e:sget-object || Lo/a;->V5(Ljava/lang/String;)V@0x03f8:sget-object || Lo/a;->c6(Ljava/lang/String;)V@0x00dc:sget-object || Lo/a;->c6(Ljava/lang/String;)V@0x023c:sget-object || Lo/a;->c6(Ljava/lang/String;)V@0x02e4:sget-object
LscriptPages/data/d;->j,[[S],协议 short 参数,V5/c6 读取并重置；未发现 data.d accessor 使用，语义待复核。,low,13,Lo/a;->V5(Ljava/lang/String;)V@0x0100:sget-object || Lo/a;->V5(Ljava/lang/String;)V@0x01d2:sget-object || Lo/a;->V5(Ljava/lang/String;)V@0x038e:sget-object || Lo/a;->V5(Ljava/lang/String;)V@0x0400:sget-object || Lo/a;->c6(Ljava/lang/String;)V@0x00e8:sget-object || Lo/a;->c6(Ljava/lang/String;)V@0x0248:sget-object || Lo/a;->c6(Ljava/lang/String;)V@0x02f0:sget-object || Lo/a;->c6(Ljava/lang/String;)V@0x04a4:sget-object
LscriptPages/data/d;->k,[J],bank1 宿主反链,c6 写入 host_id；r(J) 对 bank1 返回该 host_id。,high,10,Lo/a;->c6(Ljava/lang/String;)V@0x0116:sput-object || Lo/a;->c6(Ljava/lang/String;)V@0x011c:sget-object || Lo/a;->c6(Ljava/lang/String;)V@0x0254:sget-object || Lo/a;->c6(Ljava/lang/String;)V@0x02fc:sget-object || Lo/a;->c6(Ljava/lang/String;)V@0x04b4:sget-object || Lo/a;->c6(Ljava/lang/String;)V@0x0514:sput-object || LscriptPages/data/d;->a(J)V@0x0024:sget-object || LscriptPages/data/d;->b(J)V@0x0086:sget-object
LscriptPages/data/d;->l,[[String],装备额外文本/描述,A(J) 返回原文，s(J) 去掉 <#> 标签后显示。,high,15,Lo/a;->V5(Ljava/lang/String;)V@0x010c:sget-object || Lo/a;->V5(Ljava/lang/String;)V@0x0216:sget-object || Lo/a;->V5(Ljava/lang/String;)V@0x039e:sget-object || Lo/a;->V5(Ljava/lang/String;)V@0x0408:sget-object || Lo/a;->c6(Ljava/lang/String;)V@0x0130:sget-object || Lo/a;->c6(Ljava/lang/String;)V@0x025c:sget-object || Lo/a;->c6(Ljava/lang/String;)V@0x0304:sget-object || Lo/a;->c6(Ljava/lang/String;)V@0x04c0:sget-object
LscriptPages/data/d;->m,[[I],内部标志/状态,V5/c6 初始化为 0；未发现 UI 语义，待复核。,low,9,Lo/a;->V5(Ljava/lang/String;)V@0x0118:sget-object || Lo/a;->V5(Ljava/lang/String;)V@0x022a:sget-object || Lo/a;->V5(Ljava/lang/String;)V@0x03ae:sget-object || Lo/a;->V5(Ljava/lang/String;)V@0x0410:sget-object || Lo/a;->c6(Ljava/lang/String;)V@0x013c:sget-object || Lo/a;->c6(Ljava/lang/String;)V@0x0268:sget-object || Lo/a;->c6(Ljava/lang/String;)V@0x0310:sget-object || LscriptPages/data/d;->G()V@0x004e:sput-object
LscriptPages/data/d;->n,int,locator bank,y(J) 设置的当前命中 bank。,high,35,LscriptPages/data/d;->A(J)Ljava/lang/String;@0x0006:sget || LscriptPages/data/d;->B(J)[S@0x0006:sget || LscriptPages/data/d;->B(J)[S@0x0032:sget || LscriptPages/data/d;->D(J)Ljava/lang/String;@0x0006:sget || LscriptPages/data/d;->E(J)I@0x0006:sget || LscriptPages/data/d;->E(J)I@0x003a:sget || LscriptPages/data/d;->F(J)I@0x0006:sget || LscriptPages/data/d;->d(J)I@0x0006:sget
