字段组,p.f字段,p.c1同构字段,静态引用情况,语义结论,置信度,证据,服务端重建建议
未展示状态 byte,v5,Y5,全 DEX 字段引用扫描仅见 p.f/p.c1 读取/存储；未见 p.s/p.t 主面板显示,隐藏状态/归属/品质/兼容 byte 候选,低,resource_point_remaining_refs/field_refs.json 只列出 p.f/p.c1 两个方法；p.s 主面板不读 v5/Y5,保留字段；初版可返回 0，动态样本再命名
未展示 int A,z5,c6,仅在列表响应读取/存储；未见显示路径,隐藏数值/兼容字段候选,低,p.f readInt->z5；p.c1 readInt->c6；全 DEX 引用扫描未发现其他方法使用,保留字段；不要用于核心规则判断
未展示 int B,B5,e6,仅在列表响应读取/存储；未见显示路径,隐藏数值/兼容字段候选,低,p.f readInt->B5；p.c1 readInt->e6；全 DEX 引用扫描未发现其他方法使用,保留字段；不要用于核心规则判断
未展示 int C,O5,p6,仅在列表响应读取/存储；未见显示路径,隐藏数值/兼容字段候选,低,p.f readInt->O5；p.c1 readInt->p6；全 DEX 引用扫描未发现其他方法使用,保留字段；不要用于核心规则判断
未展示 int D,P5,q6,仅在列表响应读取/存储；未见显示路径,隐藏数值/兼容字段候选,低,p.f readInt->P5；p.c1 readInt->q6；全 DEX 引用扫描未发现其他方法使用,保留字段；不要用于核心规则判断
末尾时间/状态 long A,K5,n6,仅在列表响应读取/存储；未见显示路径,时间戳/保护/占领/刷新状态候选,低中,p.f 末尾 readLong->K5；p.c1 readLong->n6；静态引用扫描未见其他显示/逻辑路径,字段顺序必须保留；值可先返回 0 或当前时间策略
末尾时间/状态 long B,L5,o6,仅在列表响应读取/存储；未见显示路径,时间戳/保护/占领/刷新状态候选,低中,p.f 末尾 readLong->L5；p.c1 readLong->o6；静态引用扫描未见其他显示/逻辑路径,字段顺序必须保留；值可先返回 0 或当前时间策略
ID 标记列表,M5[],无,p.f 读取后立刻与 q5[] 匹配，设置 N5[matched]=true,当前列表中被标记/已占/可操作/已选中的目标 ID 集合候选,中,"p.f: readLong count -> M5[]；随后 r0.M(M5[i], q5[]) 命中则 N5[索引]=true",用于列表行状态标记；如不确定可返回空列表，后续动态样本确认
道路值,y5,b6,p.s/p.q 标签明确显示为 di_道路；文本规则说明道路值越高行军速度越快,城池道路值，不是普通资源点储量,高,p.s: di_道路 + y5/b6；sentence_rule_hits: 修筑道路能提高城池道路值，道路值越高军队行动速度越快,服务端按城池/目标维护 road_value；影响行军时间/阻击可达性候选
城墙值,A5,d6,p.s/p.q 标签明确显示为 di_城墙；文本规则说明城墙能提高城池防御值,城池城墙/城防值，不是普通资源点储量,高,p.s: di_城墙 + A5/d6；sentence_rule_hits: 修筑城墙能提高城池防御值；冲城车只能对城墙攻击,服务端按城池/目标维护 wall_value；影响攻城战城墙目标和守军加成候选
修墙公式文本,-,-,scriptPages/game/k.D1 与文本规则均出现,60 粮食可修筑 1 点城墙；1 黄金可修筑 1000 点城墙,高,sentence_rule_hits #211/#216；k.D1 出现 wallvaule、re_粮食城墙、re_黄金城墙，60/1000 常量,修墙接口/贡献计算需服务端权威；客户端只显示确认文案
修路公式文本,-,-,scriptPages/game/k.D1 出现 roadvaule、re_粮食道路、re_黄金道路,道路值可通过粮食/黄金修筑；具体换算需继续抽取完整 D1 分支,中,k.D1 出现 roadvaule、re_粮食道路、re_黄金道路；同段存在 50/500 等常量但需分支确认,本轮只确认 road_value 概念；换算公式另列后续
