resource_id,display_name_from_g.f8,value_field_from_g.w0,confidence,note
-1,铜钱,data.i.d,高,g.w0 直接返回该字段
-2,粮食,data.i.e,高,g.w0 直接返回该字段
-3,白银,data.g.G,高,g.w0 直接返回该字段
-4,黄金,data.g.F,高,g.w0 直接返回该字段
-5,声望,data.i.i,高,g.w0 直接返回该字段
-6,战功,data.i.o,高,g.w0 直接返回该字段
-7,将领经验,未在 w0 明确返回/保留,中,g.v0 有名称；g.w0 当前分支返回 0/保留，具体数量来源需另追
-8,基地预备兵,未在 w0 明确返回/保留,中,g.v0 有名称；g.w0 当前分支返回 0/保留，具体数量来源需另追
-9,荣誉值,未在 w0 明确返回/保留,中,g.v0 有名称；g.w0 当前分支返回 0/保留，具体数量来源需另追
-10,竞技币,未在 w0 明确返回/保留,中,g.v0 有名称；g.w0 当前分支返回 0/保留，具体数量来源需另追
-11,俸禄,未在 w0 明确返回/保留,中,g.v0 有名称；g.w0 当前分支返回 0/保留，具体数量来源需另追
-12,战法经验点,未在 w0 明确返回/保留,中,g.v0 有名称；g.w0 当前分支返回 0/保留，具体数量来源需另追
-13,战法谋略值,未在 w0 明确返回/保留,中,g.v0 有名称；g.w0 当前分支返回 0/保留，具体数量来源需另追
-14,账号积分,data.g.H,高,g.w0 直接返回该字段
