field,final_name,meaning,confidence,b6_read_offset,b6_read_call,b6_block,b6_target_or_field,b6_read_note,reference_count
do,name,对象/将领名称。,high,0x0010,readUTF(Ljava/lang/String;)Ljava/lang/String;,b6.common,Lo/a.do[type][idx],对象显示名/名称字符串候选；将领列表 UI 的核心字段。,6
eo,unknown,未命名；需要继续结合 UI/抓包。,low,0x0024,readShort(Ljava/lang/String;)S,b6.common,Lo/a.eo[type][idx],对象 short 参数 #1。,5
fo,unknown,未命名；需要继续结合 UI/抓包。,low,0x0038,readByte(Ljava/lang/String;)B,b6.common,Lo/a.fo[type][idx],对象 byte 参数 #1。,4
go,class_or_type_code,对象分类/兵种/称号类 byte，`W3` 用 `Tp/Up` 表映射为显示字符串；具体业务名待静态表继续追。,medium,0x004c,readByte(Ljava/lang/String;)B,b6.common,Lo/a.go[type][idx],对象 byte 参数 #2。,6
ho,unknown,未命名；需要继续结合 UI/抓包。,low,0x0060,readShort(Ljava/lang/String;)S,b6.common,Lo/a.ho[type][idx],对象 short 参数 #2。,5
io,growth_value,成长值；将领详情/监狱 UI 在“成长值”标签下读取 `Q2`。,high,0x0074,readShort(Ljava/lang/String;)S,b6.common,Lo/a.io[type][idx],对象 short 参数 #3。,5
jo,level,等级；UI 以 `K3(name) + (A3 level) + 级` 显示。,high,0x0088,readByte(Ljava/lang/String;)B,b6.common,Lo/a.jo[type][idx],对象 byte 参数 #3。,7
ko,exp_current,经验当前值；监狱/将领详情 UI 以 `B2/C2` 显示经验进度。,high,0x009c,readInt(Ljava/lang/String;)I,b6.common,Lo/a.ko[type][idx],对象 int 参数 #1。,7
lo,exp_next_or_cap,经验目标/上限值；与 `ko` 组成经验进度。,high,0x00b0,readInt(Ljava/lang/String;)I,b6.common,Lo/a.lo[type][idx],对象 int 参数 #2。,5
mo,force,武力；将领详情 UI 在“武力”标签下读取 `K2`。,high,0x00c4,readShort(Ljava/lang/String;)S,b6.common,Lo/a.mo[type][idx],对象 short 参数 #4。,5
no,intelligence,智力；将领详情 UI 在“智力”标签下读取 `H3`。,high,0x00d8,readShort(Ljava/lang/String;)S,b6.common,Lo/a.no[type][idx],对象 short 参数 #5。,5
oo,command,统帅；将领详情 UI 在“统帅”标签下读取 `y3`。,high,0x00ec,readShort(Ljava/lang/String;)S,b6.common,Lo/a.oo[type][idx],对象 short 参数 #6。,6
po,attack,攻击；将领详情 UI 在“攻击”标签下读取 `t1`。,high,0x0100,readShort(Ljava/lang/String;)S,b6.common,Lo/a.po[type][idx],对象 short 参数 #7。,5
qo,defense,防御；将领详情 UI 在“防御”标签下读取 `v2`。,high,0x0114,readShort(Ljava/lang/String;)S,b6.common,Lo/a.qo[type][idx],对象 short 参数 #8。,5
ro,energy_current,体力/行动力当前值；`a8` 本地每小时 +10 并受 `so` 上限限制，`z.C` 加体力响应更新 `ro/so`。,high,0x0128,readShort(Ljava/lang/String;)S,b6.common,Lo/a.ro[type][idx],对象 short 参数 #9；a8 会本地随时间递增并受 so 上限限制。,8
