分类,相对路径,记录数,字段数,字段名,备注
战法/战斗,analysis/game_rules/battle_tables/bt_book_piece.csv,35,7,id / 名称 / 字段A / 字段B / 字段C / raw_tail / offset,
战法/战斗,analysis/game_rules/battle_tables/bt_book_pro_table.csv,4,5,id / 描述 / raw_head / offset / 记录长度,
战法/战斗,analysis/game_rules/battle_tables/bt_effects.csv,25,5,id / 名称/短名 / 效果描述 / raw_tail / offset,
战法/战斗,analysis/game_rules/battle_tables/bt_level_texts.csv,875,4,bt_id / 名称 / 序号 / 描述/公式,
战法/战斗,analysis/game_rules/battle_tables/bt_list_summary.csv,35,7,id / 名称 / 记录长度 / 字符串数 / 核心描述/公式样例 / 全部文本样例 / offset,
兵种,analysis/game_rules/soldier_table/soldier_values.csv,16,17,id / 名称 / 大类码 / 大类 / 阶位 / 字段A_疑似普通攻击/兵种等级 / 攻击 / 防御 / 生命 / 速度 / 字段F_疑似射程/负重/行动值 / 铜钱成本_推定 / 粮食成本_推定 / 材料成本_推定 / 招募时间_推定 / 人口占用 / 描述,
建筑,analysis/game_rules/tables/parsed/buildings.csv,9,9,id / 名称 / 类型字段 / 最大等级 / 前置建筑ID / 描述 / 资源/图片ID列表 / tail_len / offset,
装备,analysis/game_rules/tables/parsed/equip_effects.csv,11,5,id / flags / text / offset / note,
装备,analysis/game_rules/tables/parsed/equip_types.csv,4,6,id / 名称 / 子类型/槽位 / 属性ID列表 / 品质/效果项 / offset,
道具,analysis/game_rules/tables/parsed/item_effects.csv,48,5,id / flags / text / offset / note,
将领/技能,analysis/game_rules/tables/parsed/skill_effects.csv,22,5,id / 标题 / 字段raw / 描述 / offset,
将领/技能,analysis/game_rules/tables/parsed/skills.csv,45,10,id / 名称 / 技能族 / 等级 / 效果ID / 效果标题 / 触发率/数值 / 效果描述 / raw_suffix / offset,
科技,analysis/game_rules/tables/parsed/tech_effects.csv,47,5,id / flags / text / offset / note,
科技,analysis/game_rules/tables/parsed/tech_levels.csv,195,9,tech_id / 名称 / 等级 / 效果值 / 成本A / 成本B / 成本C / 耗时秒 / 需求/点数参数,
科技,analysis/game_rules/tables/parsed/tech_summary.csv,22,15,id / 名称 / 最大等级 / 图标ID / 效果ID/字段 / 效果文本_by_字段 / 效果文本_by_tech_id / 字段1 / 字段2 / 字段3 / level_rows / cost_rows / req_rows / offset / parse_ok,
商城,analysis/vuln_shop/mall_goods/mall_goods_table.csv,166,13,category / page / total_pages / row_index / good_id / item_id / item_name / item_type / price1 / price2 / stock_or_limit / source / raw,
山贼地图,analysis/vuln_shop/bandit_map_0x1540/bandit_0x1540_records.csv,66,13,flow_idx / ts / target_id / name / level / x / y / desc / resource1 / resource2 / loot_ids / unit_count / units,
山贼地图,analysis/vuln_shop/bandit_map_0x1540/full_scan_7_archer_category_corrected_20260705_0415/level7_all_units_raw.csv,596,12,target_id / x / y / desc / resource1 / resource2 / loot_ids / major_codes / majors / units / query_x / query_y,
副本/战役,analysis/game_rules/fb_tables/fb_stage_table.csv,111,13,seq / campaign / stage / title / objective / enemy_summary / enemy_total / reward_summary / location / scene_files / story / string_count / offset_start,scriptFB.sc 展示层结构化
道具,analysis/game_rules/item_mapping/item_full_mapping.csv,758,15,item_id / name / type / type_label / desc / effect_ids / effect_summary / is_package_or_box / has_probability_text / mall_good_ids / mall_summary / dynamic_evidence / tail_len / offset / tail_hex_prefix,scriptItem.sc 全量道具映射
道具,analysis/game_rules/item_mapping/item_effect_resolved.csv,97,15,item_id / name / type / type_label / desc / effect_ids / effect_summary / is_package_or_box / has_probability_text / mall_good_ids / mall_summary / dynamic_evidence / tail_len / offset / tail_hex_prefix,已解析直接效果动作的道具
道具,analysis/game_rules/item_mapping/item_mall_mapping.csv,142,15,item_id / name / type / type_label / desc / effect_ids / effect_summary / is_package_or_box / has_probability_text / mall_good_ids / mall_summary / dynamic_evidence / tail_len / offset / tail_hex_prefix,商城关联道具
道具,analysis/game_rules/item_mapping/item_package_box_candidates.csv,407,15,item_id / name / type / type_label / desc / effect_ids / effect_summary / is_package_or_box / has_probability_text / mall_good_ids / mall_summary / dynamic_evidence / tail_len / offset / tail_hex_prefix,礼包/宝箱/资源包候选
道具,analysis/game_rules/item_mapping/package_reward_text_mapping.csv,407,13,item_id / name / type_label / package_kind / key_required / guaranteed_reward_text / reward_tokens / resolved_reward_item_refs / probability_categories / probability_text / mall_summary / dynamic_evidence / desc,礼包/宝箱/资源包描述文本结构化
道具,analysis/game_rules/item_mapping/package_tail_binary_parse.csv,407,11,item_id / name / parse_status / resource_rewards / item_rewards / resource_count / item_reward_count / sections / remaining_hex_prefix / tail_len / desc,礼包/宝箱 tail 二进制解析全量
道具,analysis/game_rules/item_mapping/package_tail_binary_parsed_ok.csv,142,11,item_id / name / parse_status / resource_rewards / item_rewards / resource_count / item_reward_count / sections / remaining_hex_prefix / tail_len / desc,成功解析固定资源/道具奖励子集
副本/战役,analysis/game_rules/fb_scene_scripts/scene_script_summary.csv,242,11,scene_file / exists / size / version / declared_len / command_count / string_count / actor_candidates / dialogue_preview / stage_refs / note,副本场景脚本头和字符串摘要
副本/战役,analysis/game_rules/fb_scene_scripts/scene_script_strings.csv,1239,6,scene_file / offset / len / class / text / stage_refs,副本场景脚本中文字符串
副本/战役,analysis/game_rules/fb_scene_scripts/stage_scene_aggregate.csv,111,14,seq / campaign / stage / title / enemy_summary / enemy_total / scene_files / scene_exists_count / scene_missing_count / missing_scene_files / total_command_count / total_string_count / actor_candidates / dialogue_preview,关卡到场景脚本聚合
副本/场景opcode,analysis/game_rules/fb_scene_scripts/scene_opcode_observations.csv,4102,16,scene_file / cmd_index / offset_hex / opcode_hex / opcode_dec / length / role_guess / text / name / actor_or_cmd_id / resource_or_portrait_id / duration_or_count / x / y / raw_hex_prefix / decoded_fields_json,场景 opcode 命令明细；含 opcode、长度、语义候选、文本/演员/坐标字段
副本/场景opcode,analysis/game_rules/fb_scene_scripts/scene_opcode_scene_summary.csv,188,7,scene_file / version / declared_len / file_size / declared_count / physical_command_records / opcode_counts_json,每个场景脚本 opcode 统计与头字段/物理命令数
副本/场景opcode,analysis/game_rules/fb_scene_scripts/scene_opcode_initial_findings.json,1,10,generated_at / scene_dir / scene_files_parsed / parse_failures / total_command_records / dialogue_text_commands / named_actor_commands / header_count_mismatch_count / header_count_mismatch_examples / opcode_summary,opcode 初步反推 JSON 汇总
玩家成长,analysis/game_rules/player_growth/growth_sentence_hits.csv,910,4,id / key / categories / text,sentence.txt 中等级/封地/官职/贡献/称号/新手任务等文本命中
玩家成长,analysis/game_rules/player_growth/growth_faq_hits.csv,24,4,q_no / question / answer / categories,FAQ 中成长/封地/官职/贡献/称号相关 Q&A
玩家成长,analysis/game_rules/player_growth/freshman_entries.csv,68,6,id / type / field_a / field_b / tail / text,scriptFreshman.sc 新手/成长引导结构化记录
玩家成长,analysis/game_rules/player_growth/growth_binary_string_hits.csv,196,5,file / offset / len / categories / text,scriptGuide/Banyou/MMhelp 中成长相关帮助/引导文本
玩家成长,analysis/game_rules/player_growth/role_name_parts.csv,1164,3,id / name / group_flag,scriptRoleName.sc 将领姓名/名部件
玩家成长,analysis/game_rules/player_growth/role_professions.csv,4,4,id / profession / tail_hex / field_bytes,scriptRoleProf.sc 将领职业
玩家成长,analysis/game_rules/player_growth/player_growth_summary.json,1,11,generated_at / sentence_hits / faq_hits / freshman_meta / freshman_entries / binary_growth_string_hits / role_name_parts / role_name_group_counts / role_professions / sentence_category_counts / binary_category_counts,玩家成长规则解析汇总 JSON
称号/成就,analysis/game_rules/title_system/title_sentence_hits.csv,44,5,id / key / hit_terms / categories / text,sentence.txt 中称号/成就相关文本命中
称号/成就,analysis/game_rules/title_system/title_faq_hits.csv,1,4,q_no / question / answer / hit_terms,FAQ 中称号/成就相关问答
称号/成就,analysis/game_rules/title_system/title_help_hits.csv,80,4,file / offset / hit_terms / text,scriptBanyou/scriptMMhelp/scriptFB 等帮助脚本中的称号/成就文本
称号/成就,analysis/game_rules/title_system/title_box_mapping.csv,47,7,item_id / item_name / title_name / title_code_from_tail / desc / tail_hex_prefix / note,称号相关道具/称号宝箱与 tail 疑似称号编码映射
称号/成就,analysis/game_rules/title_system/title_protocol_methods.csv,12,8,direction / opcode_dec / opcode_hex / method / logical_name / io_sequence / evidence / meaning,DEX 反汇编确认的称号/成就请求和响应读写结构
称号/成就,analysis/game_rules/title_system/title_capture_hits.csv,1621,11,capture_set / flow_idx / ts / side / hit_type / opcode_hex / opcode_dec / offset / matched_strings / req_cmd_candidates / resp_cmd_candidates,抓包中称号/成就相关 opcode 或字符串命中；当前直接 opcode 为 0
称号/成就,analysis/game_rules/title_system/title_system_summary.json,1,12,generated_at / sentence_hits / faq_hits / help_hits / title_box_rows / title_box_with_tail_code / protocol_rows / capture_hits / capture_opcode_hits / capture_string_only_hits / sentence_category_counts / top_title_box_codes,称号/成就系统解析汇总 JSON
战斗指令流,analysis/game_rules/battle_deep/battle_command_structure.csv,11,8,command_type / role / read_sequence / handler / buffer_or_state / evidence_range / formula_relevance / confidence,s->Z(String) 战斗/战报 command type 1..11 读取结构与 handler
战斗指令流,analysis/game_rules/battle_deep/battle_command_baseio_reads.csv,11,3,command_type / role / baseio_reads_in_range,每类战斗 command type 的 BaseIO read 调用地址索引
战斗指令流,analysis/game_rules/battle_deep/battle_command_structure.json,1,7,generated_at / smali / header / command_count / commands / read_index / key_conclusions,战斗指令流结构汇总 JSON
战斗模拟器,analysis/game_rules/battle_deep/battle_simulator_rms_format.csv,9,6,order / field / writer / reader / meaning / calc_evidence,KING_BATTLE_SIMULATOR3.0 RMS record #1 阵容槽字段读写镜像
战斗模拟器,analysis/game_rules/battle_deep/battle_simulator_path_evidence.csv,5,4,component / role / evidence / formula_signal,战斗模拟器路径方法/偏移证据索引
战斗模拟器,analysis/game_rules/battle_deep/battle_simulator_path_summary.json,1,5,generated_at / paths / rms_format / stats / conclusion,战斗模拟器本地 RMS/UI 路径 JSON 汇总
战斗模拟器,analysis/game_rules/battle_deep/battle_simulator_protocol_fields.csv,10,6,stage / method / offset / operation / fields / meaning,ReqChallengeTaskAward 开始战斗请求/响应字段顺序与证据
