seq,campaign,stage,title,objective,enemy_summary,enemy_total,reward_summary,location,scene_files,story,string_count,offset_start
1,1,1,奉诏讨贼,消灭夺取军粮的小股山贼势力。,民兵*300/民兵*300,600,装备/鲁公手册/铁矿/山贼令,,1-1-1.sc/1-1-2.sc/1-1-3.sc,东汉末年，山贼四起，到处烧灭夺取，汉帝下发全国诏书，征召诸侯勇士前去消灭山贼党，以拯救万民。,8,0xa
2,1,2,追击贼匪,消灭山贼据点寨口贼兵。,民兵*320/民兵*500/民兵*320,1140,装备/鲁公手册/铁矿/山贼令,山贼山寨口,1-2-1.sc/1-2-3.sc,山贼劫掠了我军粮草，为了夺回粮草，我军来到了山贼的山寨据点，但寨口有兵力把守。,8,0x2a2
3,1,3,山贼营寨,消灭山贼头目孙仲。,轻骑*500/轻步*400/轻步*400/民兵*350/民兵*350,2000,装备/鲁公手册/铁矿/山贼令,山贼营寨,1-3-1.sc/1-3-2.sc/1-3-3.sc,我军突破了山贼山寨的大门，趁势将此山寨据点端掉。,9,0x52e
4,2,1,宦官乱政,讨伐十常侍头领张让、赵忠,轻步*240/轻步*240,480,装备/鲁公手册/浆果/追缉令,,2-1-1.sc/2-1-3.sc,十常侍诱灭大将军何进，意图操纵朝纲，务必将十常侍尽皆除掉,7,0x7a5
5,1,4,守卫洛阳,防守住洛阳并消灭来犯山贼。,轻步*12000/轻骑*3000/重骑*1800,16800,装备/鲁公手册/铁矿/山贼令,洛阳城,1-4-1.sc/1-4-2.sc/1-4-3.sc,攻下一个山贼山寨后，意外得悉山贼党预谋起兵攻打洛阳，必须紧急回洛阳协助防守。,9,0x9f9
6,1,5,涿郡遇贼,消灭侵犯涿郡的山贼,轻骑*200/民兵*400/民兵*400,1000,装备/鲁公手册/铁矿/山贼令,,1-5-1.sc/1-5-3.sc,攻打洛阳的山贼军已经被消灭，但涿郡遇到了邓茂带领部队的侵袭,7,0xc9e
7,1,6,青州解围,消灭山贼，解围青州城,轻步*250/民兵*400/民兵*400/民兵*400,1450,装备/鲁公手册/铁矿/山贼令,,1-6-1.sc/1-6-2.sc/1-6-3.sc,涿郡刚平，又传山贼将青州城四面围堵，青州势危，急需救援。,8,0xef7
8,1,7,宛城对决,消灭张曼成队,轻骑*250/民兵*500/民兵*500/民兵*500,1750,装备/山贼令/实木宝箱,,1-7-1.sc/1-7-2.sc/1-7-3.sc,青州城之围解除了，但山贼军的某支主力部队将宛城占领了，似乎想要以此为据点对洛阳形成包围圈。,8,0x1163
9,1,8,攻打宛城,消灭守城山贼，夺回宛城,弓兵*260/民兵*400/民兵*400/民兵*400/民兵*400,1860,装备/山贼令/实木宝箱,宛城,1-8-1.sc/1-8-3.sc,驻扎宛城的山贼主力被消灭，只剩下小股势力仍驻守在城内，此时正是攻下宛城的好时机,8,0x13ef
10,1,9,救援曲阳,支援皇甫嵩，消灭赵弘、韩忠、程远志,重骑兵*600/轻步兵*500/重骑兵*600/民兵*800/民兵*800,3300,装备/山贼令/实木宝箱,,1-9-1.sc/1-9-3.sc,宛城的山贼全部被消灭，与此同时，山贼党的两大首领出现在曲阳附近，主动出击消灭敌军,7,0x1681
11,1,10,曲阳退敌,消灭张宝张梁的部队解围曲阳,重骑兵*300/重骑兵*300/民兵*4950,5550,装备/山贼令/实木宝箱,,1-10-1.sc/1-10-2.sc/1-10-3.sc,张宝张梁部下主力被消灭了，但依旧顽强使地用妖术与皇甫嵩对战。,8,0x192d
12,1,11,增援广宗,增援朱儁并打败张角,重骑兵*400/民兵*500/民兵*500/民兵*500/民兵*500,2400,装备/山贼令/实木宝箱,,1-11-1.sc/1-11-3.sc,山贼军最大的首领张角，将朱儁的军队屡屡打败，情势似乎倒向了山贼军一边，残酷的考验来了,7,0x1ba6
13,,,广宗决战,消灭山贼军并俘虏张角张宝张梁,重骑兵*1050/民兵*2250,3300,装备/徭役令/将神魂,,,山贼军三大首领齐聚一堂，山贼军卷土重来，最后的大决战爆发了,5,0x1e3c
14,2,2,刺灭董卓,行刺董卓,轻步*300/轻步*300,600,装备/鲁公手册/浆果/追缉令,,2-2-1.sc/2-2-2.sc/2-2-3.sc,讨伐十常侍一战，张让劫持少帝出逃，路遇董卓军，张让被诛。董卓救驾后独揽大权，霍乱朝纲，朝中大臣无不希望有人能够除掉董卓,8,0x2089
15,2,3,逃离洛阳,击败追击的董卓军,轻骑*240/轻骑*180/轻骑*180,600,装备/鲁公手册/浆果/追缉令,,2-3-1.sc/2-3-3.sc,刺灭董卓失败，须尽快逃离洛阳，以躲避董卓军追灭,7,0x232a
16,2,4,进军汜水关,击败汜水关前的戒备军,轻步*260/轻步*260/轻步*260,780,装备/鲁公手册/浆果/追缉令,,2-4-1.sc/2-4-3.sc,曹操发布了讨董檄文，聚集各路诸侯，由盟主袁绍统领，进军洛阳,7,0x256e
17,2,5,营地攻防战,击败胡轸,轻骑*240/轻步*360/轻步*360,960,装备/鲁公手册/浆果/追缉令,,2-5-1.sc/2-5-3.sc,华雄的手下进攻联军营地，联军盟主袁绍命你迎敌,7,0x27cd
18,2,6,征讨华雄,击败华雄军,轻骑*150/弩兵*200/轻骑*150/轻步*360,860,装备/鲁公手册/浆果/追缉令,,2-6-1.sc/2-6-3.sc,华雄引兵前来溺战，连斩盟军数名大将，终被关羽斩灭，袁绍下令趁胜冲灭,7,0x2a05
19,2,7,击破汜水关,攻破汜水关,轻步*400/弩兵*400/轻步*400/弩兵*400,1600,装备/实木宝箱/追缉令,汜水关,2-7-1.sc/2-7-3.sc,董卓帐下的大将华雄被斩，败兵逃亡回汜水关，袁绍下令攻打,8,0x2c69
20,2,8,兵进虎牢关,消灭董卓派来拦截的部队,重骑兵*150/重骑兵*150/轻步*400/轻步*400,1100,装备/实木宝箱/追缉令,,2-8-1.sc/2-8-3.sc,联盟军一路奔往虎牢关，路上不断出现董卓的拦截军,7,0x2ec0
21,2,9,虎牢拉锯战,消灭首批守军,重步兵*150/弩兵*200/轻步*420/弩兵*200,970,装备/实木宝箱/追缉令,,2-9-1.sc/2-9-3.sc,联军来到虎牢关下，吕布的手下率军迎战,7,0x311a
22,2,10,人中吕布,击退吕布军,重骑兵*400/重骑兵*400/轻步*450/轻步*450/铁骑兵*500,2200,装备/实木宝箱/追缉令,,2-10-1.sc/2-10-3.sc,眼见手下被斩，号称天下第一猛将的吕布亲自提兵前来,7,0x3353
23,2,11,攻破虎牢关,攻下虎牢关,重骑兵*320/弩车*100/轻步*300/轻步*300/轻步*300,1320,装备/实木宝箱/追缉令,虎牢关,2-11-1.sc/2-11-3.sc,吕布败退回虎牢关，命令死守关卡，自己回朝与董卓商议,8,0x35af
24,,,董卓追击战,消灭伏兵,铁骑兵*200/重骑兵*600/强弩兵*360,1160,装备/招募令/将神魂,,,李儒献计迁都长安，劫掠汉天子并纵火烧洛阳，联盟军束手无策,5,0x3810
25,3,1,函谷关伏兵,消灭伏兵,轻步兵*400/轻步兵*400/轻步兵*400/重步兵*320/重步兵*320,1840,装备/鲁公图册/水晶/大汉军旗,,3-1-1.sc/3-1-3.sc,追军至函谷关下，中了李儒伏兵计,7,0x3a4c
26,3,2,诱敌之计,消灭函谷关主力,轻骑兵*420/强弩兵*200/重步兵*320/重骑兵*160/重骑兵*160,1260,装备/鲁公图册/水晶/大汉军旗,,3-2-1.sc/3-2-3.sc,函谷关重兵把守，强攻难破，要如何攻破呢？,7,0x3c97
27,3,3,踏破函谷关,攻破函谷关,轻步兵*800/轻步兵*800/强弩兵*250/重步兵*250/重步兵*250,2350,装备/鲁公图册/水晶/大汉军旗,函谷关,3-3-1.sc/3-3-3.sc,函谷关的主力已被歼灭，现在是攻下函谷关的大好时机,8,0x3ef7
28,3,4,潼关苦战,消灭守关精锐部队,铁骑兵*120/铁骑兵*120/重骑兵*180/重骑兵*180/重骑兵*180,780,装备/鲁公图册/水晶/大汉军旗,,3-4-1.sc/3-4-3.sc,潼关守将听知函谷关已破，坚守潼关,7,0x4169
29,3,5,抢夺潼关,攻下潼关,轻骑兵*750/强弩兵*300/轻步兵*700/重步兵*180/重步兵*180,2110,装备/鲁公图册/水晶/大汉军旗,潼关,3-5-1.sc/3-5-3.sc,长安近在眼前，潼关却久攻不下，下定决心倾力破关,8,0x43c0
30,3,6,巧施离间计,假扮张济消灭郭汜部下的小队,重步兵*400/强弩兵*300/轻步兵*500/轻步兵*500/重骑兵*500,2200,装备/大汉军旗/青铜宝箱/大汉军旗,,3-6-1.sc/3-6-3.sc,董卓已经被诛，但长安残余敌军依旧势大，需要分化敌军，逐一击破,7,0x4626
31,3,7,长安内乱,突袭郭汜,重骑兵*300/重骑兵*200/轻骑兵*300/轻骑兵*300/轻骑兵*300,1400,装备/大汉军旗/青铜宝箱/大汉军旗,,3-7-1.sc/3-7-3.sc,离间计成功，长安城内各势力逐渐分化，正是用兵之机,7,0x48bf
32,3,8,美人之争,消灭董卓,重骑兵*250/重骑兵*250/重步兵*420/强弩兵*160/强弩兵*180,1260,装备/鲁公图册/水晶/大汉军旗,,3-8-1.sc/3-8-3.sc,司徒王允巧施连环美人计，董卓吕布拔刀相向，董卓气数已尽,7,0x4b2a
33,3,9,李郭劫驾,将郭汜的军队打退,铁骑兵*200/重骑兵*220/重骑兵*220/轻骑兵*250/轻骑兵*250,1140,装备/大汉军旗/青铜宝箱/大汉军旗,,3-9-1.sc/3-9-3.sc,董卓一死，李傕郭汜劫掳献帝，献帝危在旦夕,7,0x4d98
34,3,10,长安救驾,消灭看押献帝的军士,轻步兵*1000/轻步兵*1000/轻步兵*1000/重步兵*450/重步兵*450,3900,装备/大汉军旗/青铜宝箱,,3-10-1.sc/3-10-3.sc,李傕与郭汜反目，趁此机会救出天子,7,0x5003
35,3,11,逃遁入武关,攻下武关,重步兵*300/强弩兵*450/重步兵*200/强弩兵*450/重步兵*300,1700,装备/大汉军旗/青铜宝箱,武关,3-11-1.sc/3-11-3.sc,已救出汉天子，意欲还都洛阳，但武关重兵把守，后面追兵又降至，如何保献帝回洛阳,8,0x525b
36,3,12,追兵歼灭战,消灭追击骑兵,轻骑兵*400/轻骑兵*400/轻骑兵*400/重骑兵*300/重骑兵*300,1800,装备/大汉军旗/青铜宝箱,武关,3-12-1.sc/3-12-3.sc,李傕郭汜追兵已到，为保献帝，需歼灭追击军队,8,0x54ec
37,3,13,争夺献帝,击退李傕、郭汜,轻骑兵*500/轻骑兵*500/轻骑兵*500/铁骑兵*200/铁骑兵*200,1900,装备/大汉军旗/青铜宝箱,武关,3-13-1.sc/3-13-3.sc,李傕郭汜亲自提兵来战，正是将其一网打尽的好时机,8,0x5750
38,,,诸侯混战,消灭阻截军队,重骑兵*1200/重步兵*1500/强弩兵*1500,4200,装备/免战牌/将神魂,,,各路诸侯听闻天子被困，纷纷提兵前来，天下大乱,5,0x59be
39,4,1,曹操兴兵,打败陶谦,近卫*300/强弩兵*480/弩车*200/重步兵*500/重步兵*500,1980,装备/初级行军符/灵草/护卫令,徐州,4-1-1.sc/4-1-2.sc/4-1-3.sc,曹操迎献帝到许昌，听闻父亲被陶谦部下所灭，大怒举兵,9,0x5bf0
40,4,2,回救濮阳,消灭濮阳的吕布先锋军,重步兵*500/重步兵*500/重步兵*500/重骑兵*500/铁骑兵*300,2300,装备/初级行军符/灵草/护卫令,,4-2-1.sc/4-2-3.sc,吕布为求一地安身，袭击濮阳，曹操弃徐州回身保濮阳,7,0x5e0b
41,4,3,攻破濮阳,追击吕布军,重步兵*520/重步兵*520/重步兵*520/弩车*300/铁骑兵*500,2360,装备/初级行军符/灵草/护卫令,,4-3-1.sc/4-3-3.sc,曹操用计攻濮阳，吕布败退，现在可一鼓作气追击吕布,7,0x6028
42,4,4,讨伐袁术,打击袁术的先锋,弩车*320/强弩兵*550/重步兵*550/重步兵*550/重步兵*600,2570,装备/初级行军符/灵草/护卫令,,4-4-1.sc/4-4-2.sc/4-4-3.sc,袁术势力渐大，朝廷畏惧，派刘备前往镇压,8,0x6238
43,4,5,屯兵小沛,打退袁术军马,弩车*330/强弩兵*580/重步兵*520/重步兵*520/重骑兵*1000,2950,装备/初级行军符/灵草/护卫令,,4-5-1.sc/4-5-3.sc,刘备奉诏前去攻打袁术，吕布借机占据了徐州。,7,0x6447
44,4,6,马匹劫掠战,打退追击刘备的军队,重骑兵*400/重骑兵*400/重骑兵*400/重骑兵*400/弩骑兵*800,2400,装备/初级行军符/灵草/护卫令,,4-6-1.sc/4-6-3.sc,吕布军队所买之战马被张飞所劫，兴兵前来兴师问罪,7,0x6652
45,4,7,牵制袁术,打退袁术军,弩车*350/强弩兵*600/重步兵*600/重步兵*600/重骑兵*700,2850,装备/青铜宝箱/护卫令,,4-7-1.sc/4-7-3.sc,袁术常有侵袭汝南之意，朝廷派兵前往牵制其势力,7,0x6871
46,4,8,张绣之乱,击败张绣,重弩车*350/强弩兵*620/重步兵*620/投石车*200/铁骑兵*650,2440,装备/青铜宝箱/护卫令,,4-8-1.sc/4-8-3.sc,朝廷派曹操前去收服张绣，但张绣假投降后造反，曹操军受到重创，亟待救援,7,0x6a73
47,4,9,吕袁之战,打退袁术军队,强弩兵*620/重步兵*620/重步兵*620/重骑兵*800/重骑兵*900,3560,装备/青铜宝箱/护卫令,,4-9-1.sc/4-9-2.sc/4-9-3.sc,袁术兴兵质问吕布背盟之罪，朝廷为安吕布心，决定协攻袁术,8,0x6c99
48,4,10,兵围小沛,占领徐州城,重步兵*650/重步兵*650/重步兵*650/重骑兵*800/重步兵*700,3450,装备/青铜宝箱/护卫令,徐州城,4-10-1.sc/4-10-3.sc,吕布出兵攻打汝南的刘备，朝廷打算借此机会铲除隐患——吕布,8,0x6eba
49,4,11,吕布逃亡,追击吕布,强弩兵*350/重步兵*650/重步兵*650/重骑兵*800/铁骑兵*700,3150,装备/青铜宝箱/护卫令,,4-11-1.sc/4-11-3.sc,吕布屯兵小沛，曹操、刘备等随后率大军开始包围小沛，吕布急忙突围，准备逃到下邳城。,7,0x70dc
50,4,12,水淹下邳,攻破下邳城,投石车*220/强弩兵*650/强弩兵*650/铁骑兵*720/重步兵*720,2960,装备/青铜宝箱/护卫令,下邳,4-12-1.sc/4-12-3.sc,吕布在下邳坚守不出，曹操命水淹下邳,8,0x7314
51,4,13,吕布遭擒,活捉吕布,投石车*220/重骑兵*1000/重骑兵*1000/重步兵*760/铁骑兵*800,3780,装备/青铜宝箱/护卫令,,4-13-1.sc/4-13-3.sc,水淹城破，大军入城，与吕布展开最后的战斗。,7,0x7514
52,,,援军消灭战,消灭吕布,铁骑兵*1600/重骑兵*1400/重步兵*2900/强弩兵*2100/重弩车*400/投石车*300,8700,装备/高级招募令/将神魂,,,吕布被擒后，其余党势力孤注一掷，全力营救吕布，做最后的困兽之斗。,5,0x7715
53,5,1,初会孙策,消灭袁术先锋军,重步兵*1200/重骑兵*750/强弩兵*800/强弩车*450,3200,装备/中级行军符/玄铁/剿灭令,,5-1-1.sc/5-1-2.sc/5-1-3.sc,袁术势力占据了整个扬州，曹操在收复了徐州之后，决定出兵攻打袁术。,8,0x7942
54,5,2,孙策举兵,消灭张英,重步兵*1200/重步兵*1200/重骑兵*900/强弩兵*800/强弩兵*800,4900,装备/中级行军符/玄铁/剿灭令,,5-2-1.sc/5-2-3.sc,孙策将玉玺为质，向袁术借兵，在我军秘密协助下，南下攻打曲阿。,7,0x7b6e
55,5,3,酣战太史慈,消灭援军,重骑兵*1200/重骑兵*1200/铁骑兵*750/强弩兵*900/强弩车/450,4050,装备/中级行军符/玄铁/剿灭令,,5-3-1.sc/5-3-3.sc,孙策在探查的途中遇到刘繇军的太史慈，酣战不下，刘繇军的援军转眼来了。,7,0x7d93
56,5,4,攻克曲阿,攻破曲阿,重步兵*2000/近卫兵*1000/强弩兵*1000/强弩兵*1000/强弩车*480,5480,装备/中级行军符/玄铁/剿灭令,曲阿,5-4-1.sc/5-4-2.sc/5-4-3.sc,探查了敌情后的孙策决定兵临城下，直接攻取曲阿。,9,0x7fca
57,5,5,分兵战吴城,攻下吴城,重步兵*1400/重步兵*1400/近卫兵*1200/重骑兵*750/强弩兵*1000,5750,装备/中级行军符/玄铁/剿灭令,吴城,5-5-1.sc/5-5-3.sc,孙策在曲阿整顿了军马之后，与我军分兵进攻吴城。,8,0x81e9
58,5,6,奇袭会稽,消灭援军,重步兵*1600/重骑兵*1200/重骑兵*1200/铁骑兵*750/强弩兵*1000,5750,装备/青铜钥匙/剿灭令,,5-6-1.sc/5-6-2.sc/5-6-3.sc,孙策行军到了会稽，王朗据城固守，孙策决定奇袭粮仓。,8,0x8405
59,5,7,袁术称帝,打败袁术先锋,重骑兵*1500/重骑兵*1500/铁骑兵*750/强弩兵*600/强弩车*450,4800,装备/青铜钥匙/剿灭令,,5-7-1.sc/5-7-2.sc/5-7-3.sc,袁术得到了玉玺之后，权欲日渐膨胀，终于建国称帝，国号仲氏，曹操大怒举兵。,8,0x861a
60,5,8,进攻合肥,攻下合肥,重步兵*2000/重步兵*2000/近卫兵*1000/强弩兵*1000/强弩兵/1000,6000,装备/青铜钥匙/剿灭令,合肥,5-8-1.sc/5-8-3.sc,我军绕到了合肥，兵临城下，准备一举夺下合肥。,8,0x8854
61,5,9,攻打寿春,攻破寿春城,重步兵*1600/近卫兵*1200/强弩兵*1600/强弩兵*1600/弩车*600/弩车*600,7200,装备/青铜钥匙/剿灭令,寿春,5-9-1.sc/5-9-3.sc,我军与曹操军会合，将寿春重重包围，全力攻打城池。,8,0x8a5f
62,5,10,袁术逃亡,消灭袁术有生军队,铁骑兵*1500/重骑兵*900/重步兵*2000/强弩兵*1200/强弩兵*1200,6800,装备/青铜钥匙/剿灭令,,5-10-1.sc/5-10-3.sc,寿春城破，袁术逃亡，我军全力追击。,7,0x8c7c
63,,,仲氏覆灭,消灭袁术,近卫兵*1600/重步兵*4200/铁骑兵*2400/强弩兵*3000,11200,装备/鲁公宝典/将神魂,,,袁术逃亡路线被我军所预料到，我军追兵在其前进路上将其拦截住，最后的决战来临了。,5,0x8e81
64,6,1,公孙瓒借兵,击败拦截军,重步兵*2000/重步兵*2000/骁骑兵*900/强弩兵*1200/强弩兵*1200,7300,装备/高级行军符/玉露/壮军鼓,,6-1-1.sc/6-1-3.sc,公孙瓒在磐河驻兵，进攻袁绍，但被袁绍所败，派人请求我军为外援，同战袁绍。,7,0x909f
65,6,2,大战界桥,解救公孙瓒,重步兵*2000/重步兵*2000/铁骑兵*1500/铁骑兵*1500/弩骑兵*1000,8000,装备/高级行军符/玉露/壮军鼓,,6-2-1.sc/6-2-3.sc,公孙瓒在界桥为袁绍所败，被困住无法突围，我军加快了行军的步伐，终于赶到了界桥，此时需要尽快解救公孙瓒。,7,0x9316
66,6,3,龙凑之战,消灭伏兵,近卫兵*2000/骁骑兵*1200/骁骑兵*1200/重弩车*1000/弩骑兵*2000,7400,装备/高级行军符/玉露/壮军鼓,,6-3-1.sc/6-3-3.sc,界桥之战中，公孙瓒再次败军，至此懊悔不已，在退军到平原郡龙凑县后遇到袁绍的伏兵。,7,0x95b8
67,6,4,巨马水反击,消灭麴义,重步兵*2000/近卫兵*1200/骁骑兵*1500/铁骑兵*2000/弩骑兵*1500,8200,装备/高级行军符/玉露/壮军鼓,,6-4-1.sc/6-4-3.sc,袁绍吞并了青州之后，企图继续吞并幽州而进军巨马水，但公孙瓒听取了我军的建议，设好埋伏等待着袁绍进入圈套。,7,0x9838
68,6,5,许昌之变,打退张郃,近卫兵*1500/近卫兵*1500/骁骑兵*2000/弩骑兵*1200/弩骑兵*1200,7400,装备/高级行军符/玉露/壮军鼓,,6-5-1.sc/6-5-3.sc,公孙瓒胜利后乘胜追击，但天子派使者下令让袁绍与公孙瓒和解，双方在权益利弊后决定先休养生息。,7,0x9add
69,6,6,刘曹反目,打败刘备,重步兵*2500/重步兵*2500/骁骑兵*1500/强弩兵*1500/强弩车*500,8500,装备/高级行军符/玉露/壮军鼓,,6-6-1.sc/6-6-2.sc/6-6-3.sc,公孙瓒与袁绍休战后，使者秘密带来了刘备反叛的消息，你无比震惊，决定先回许昌与曹操会师，讨伐刘备。,8,0x9d6c
