method,code_off,role,why_selected,const_strings,important_invokes,important_fields
LscriptPages/game/z;->W0()I,0x3582cc,装备页输入/状态机：打开强化、换装/卸装、普通强化、特殊强化、自动强化 20 次。,所有强化操作按钮和 G0/C0 调用点集中在此方法。,"0x0004:v1, ""di_强到最高"" || 0x0010:v4, ""2"" || 0x0022:v0, ""equippop"" || 0x0052:v0, ""equippop_equip"" || 0x005e:v7, ""di_没装备可换"" || 0x009e:v0, ""equippop_change"" || 0x00e0:v0, ""equippop_stronger"" || 0x0120:v0, ""equippop_dropoff"" || 0x0146:v1, ""di_联网卸载装备"" || 0x015a:v0, ""equippop_return"" || 0x0170:v2, ""1"" || 0x0190:v0, ""equip_store"" || 0x01a0:v11, ""equipStore_infopanel"" || 0x0348:v1, ""di_联网换装"" || 0x0390:v11, ""di_提示道具不足"" || 0x0394:v12, ""equipstronger"" || 0x05d8:v1, ""di_说明强化"" || 0x066e:v1, ""di_联网普通强化"" || 0x06b2:v1, ""中止强化"" || 0x0794:v1, ""di_提示特殊强化中""",0x0026:LscriptPages/game/q0;->T1(Ljava/lang/String;I)Ljava/lang/String; || 0x004c:LscriptPages/game/q0;->n(Ljava/lang/String;Z)V || 0x006e:LscriptPages/data/d;->f(II)[J || 0x0092:LscriptPages/game/z;->d0()V || 0x00b2:LscriptPages/data/d;->f(II)[J || 0x00d4:LscriptPages/game/z;->d0()V || 0x00f4:LscriptPages/data/d;->q(J)I || 0x0104:LscriptPages/game/z;->e0()V || 0x013c:LscriptPages/game/z;->C0(JJI)V || 0x01a4:Lo/a;->V7(Ljava/lang/String;I)I || 0x01c2:LscriptPages/game/q0;->l0(Ljava/lang/String;)B || 0x021c:LscriptPages/game/q0;->T1(Ljava/lang/String;I)Ljava/lang/String; || 0x02f8:LscriptPages/game/q0;->l0(Ljava/lang/String;)B || 0x031a:LscriptPages/game/q0;->n(Ljava/lang/String;Z)V || 0x033e:LscriptPages/game/z;->C0(JJI)V || 0x0378:LscriptPages/game/z;->u0(J)Z || 0x03a4:LscriptPages/game/q0;->l0(Ljava/lang/String;)B || 0x0406:LscriptPages/game/q0;->T1(Ljava/lang/String;I)Ljava/lang/String; || 0x04ac:LscriptPages/game/z;->a()V || 0x04dc:LscriptAPI/baseAPI/BaseUtil;->getCurTime()J || 0x0502:LscriptPages/game/z;->G0(JJI)V || 0x050c:LscriptPages/data/d;->q(J)I || 0x0524:LscriptPages/game/z;->h1()V || 0x053c:LscriptPages/data/d;->k(J)[S || 0x0554:Lo/a;->p1(J)I || 0x0578:LscriptAPI/baseAPI/BaseUtil;->getCurTime()J || 0x0588:LscriptPages/game/z;->h1()V || 0x0594:LscriptPages/game/z;->h1()V || 0x05be:LscriptPages/game/q0;->l0(Ljava/lang/String;)B || 0x0600:LscriptPages/data/d;->k(J)[S || 0x060e:Lo/a;->p1(J)I || 0x061a:LscriptPages/data/d;->k(J)[S || 0x0634:LscriptPages/data/d;->q(J)I || 0x0664:LscriptPages/game/z;->G0(JJI)V || 0x0692:LscriptPages/game/z;->G0(JJI)V || 0x06a8:Lo/a;->g7(Ljava/lang/String;II)V || 0x06b6:Lo/a;->Y6(Ljava/lang/String;Ljava/lang/String;)V || 0x06be:LscriptPages/game/z;->h1()V || 0x06e0:LscriptPages/game/z;->a()V || 0x06ee:LscriptPages/game/q;->J1()I || 0x0734:LscriptPages/data/d;->k(J)[S || 0x0740:LscriptPages/game/z;->V(I)[S || 0x074c:LscriptPages/game/q;->T0([SI)V || 0x075e:LscriptPages/game/q;->B0()V || 0x078a:LscriptPages/game/z;->G0(JJI)V,0x0000:LscriptPages/game/z;->K1 B || 0x006a:LscriptPages/game/z;->J1 I || 0x0076:LscriptPages/game/z;->N1 [J || 0x0098:LscriptPages/game/z;->K1 B || 0x00ae:LscriptPages/game/z;->J1 I || 0x00ba:LscriptPages/game/z;->N1 [J || 0x00da:LscriptPages/game/z;->K1 B || 0x00f0:LscriptPages/game/z;->H1 J || 0x0100:LscriptPages/game/z;->K1 B || 0x0130:LscriptPages/game/z;->C3 B || 0x0134:LscriptPages/game/z;->I1 J || 0x0138:LscriptPages/game/z;->H1 J || 0x01ce:LscriptPages/game/z;->O1 B || 0x01d6:LscriptPages/game/z;->O1 B || 0x01ec:LscriptPages/game/z;->O1 B || 0x0204:LscriptPages/game/z;->O1 B || 0x020e:LscriptPages/game/z;->O1 B || 0x0230:LscriptPages/game/z;->O1 B || 0x0246:LscriptPages/game/z;->O1 B || 0x025c:LscriptPages/game/z;->O1 B || 0x0270:LscriptPages/game/z;->O1 B || 0x027e:LscriptPages/game/z;->O1 B || 0x029c:LscriptPages/game/z;->O1 B || 0x02a6:LscriptPages/game/z;->P1 [I || 0x02c6:LscriptPages/game/z;->O1 B || 0x02ca:LscriptPages/game/z;->P1 [I || 0x02ea:LscriptPages/game/z;->O1 B || 0x0326:LscriptPages/game/z;->C3 B || 0x032a:LscriptPages/game/z;->I1 J || 0x032e:LscriptPages/game/z;->N1 [J || 0x0374:LscriptPages/game/z;->H1 J || 0x039c:LscriptPages/game/z;->R1 B || 0x03bc:LscriptPages/game/z;->R1 B || 0x03d6:LscriptPages/game/z;->R1 B || 0x03ee:LscriptPages/game/z;->R1 B || 0x03f8:LscriptPages/game/z;->R1 B || 0x041a:LscriptPages/game/z;->R1 B || 0x042e:LscriptPages/game/z;->R1 B || 0x0436:LscriptPages/game/z;->T1 [S || 0x0456:LscriptPages/game/z;->T1 [S || 0x0470:LscriptPages/game/z;->R1 B || 0x0482:LscriptPages/game/z;->R1 B || 0x0490:LscriptPages/game/z;->R1 B || 0x04a8:LscriptPages/game/z;->R1 B || 0x04c0:LscriptPages/game/z;->R1 B || 0x04c4:LscriptPages/game/z;->L1 B || 0x04cc:LscriptPages/game/z;->M1 J || 0x04e4:LscriptPages/game/z;->M1 J || 0x04f6:LscriptPages/game/z;->M1 J || 0x04fa:LscriptPages/game/z;->I1 J || 0x04fe:LscriptPages/game/z;->H1 J || 0x0508:LscriptPages/game/z;->H1 J || 0x0514:LscriptPages/game/z;->L1 B || 0x052c:LscriptPages/game/z;->D3 B || 0x0530:LscriptPages/game/z;->D3 B || 0x0538:LscriptPages/game/z;->H1 J || 0x056c:LscriptPages/game/z;->L1 B || 0x0574:LscriptPages/game/z;->L1 B || 0x0580:LscriptPages/game/z;->M1 J || 0x05ae:LscriptPages/game/z;->K1 B || 0x05b6:LscriptPages/game/z;->R1 B || 0x05ec:LscriptPages/game/z;->K1 B || 0x05fc:LscriptPages/game/z;->H1 J || 0x0616:LscriptPages/game/z;->H1 J || 0x0630:LscriptPages/game/z;->H1 J || 0x065c:LscriptPages/game/z;->I1 J || 0x0660:LscriptPages/game/z;->H1 J || 0x0682:LscriptPages/game/z;->L1 B || 0x068a:LscriptPages/game/z;->I1 J || 0x068e:LscriptPages/game/z;->H1 J || 0x069c:LscriptPages/game/z;->L1 B || 0x06a0:LscriptPages/game/z;->U1 Ljava/lang/String; || 0x06ae:LscriptPages/game/z;->U1 Ljava/lang/String; || 0x06da:LscriptPages/game/z;->K1 B || 0x06fa:LscriptPages/game/z;->K1 B || 0x0714:LscriptPages/game/z;->K1 B || 0x0730:LscriptPages/game/z;->H1 J || 0x075a:LscriptPages/game/z;->K1 B || 0x076a:LscriptPages/game/z;->K1 B || 0x0782:LscriptPages/game/z;->I1 J || 0x0786:LscriptPages/game/z;->H1 J || 0x07a6:LscriptPages/game/z;->K1 B || 0x07b0:LscriptPages/game/z;->K1 B
LscriptPages/game/z;->a()V,0x35cad0,"材料不足/材料入口跳转：按当前装备材料 id 打开 q.T0(..., 4420)。",W0 中库存不足或入口按钮会调用该方法。,,0x0004:LscriptPages/data/d;->k(J)[S || 0x0012:LscriptPages/game/z;->V(I)[S || 0x001e:LscriptPages/game/q;->T0([SI)V || 0x0032:LscriptPages/game/q;->B0()V,0x0000:LscriptPages/game/z;->H1 J || 0x0026:LscriptPages/game/z;->K1 B
LscriptPages/game/z;->j()V,0x35efb8,装备弹窗/强化弹窗绘制：材料、属性、成功率、保底次数、失败风险、自动强化进度。,公式和字段语义的 UI 证据集中在此方法。,"0x0016:v7, ""equippop"" || 0x0064:v1, ""di_标题品质"" || 0x0068:v2, ""↑"" || 0x0072:v4, """" || 0x0076:v5, ""di_级"" || 0x00a2:v3, ""equip_store"" || 0x00b6:v2, ""di_没有对比"" || 0x01cc:v2, ""↓"" || 0x0218:v2, ""equipStore_infopanel"" || 0x0282:v10, ""+"" || 0x0292:v10, ""("" || 0x02a8:v12, "")"" || 0x0308:v11, ""★"" || 0x031a:v7, ""："" || 0x031e:v11, ""（"" || 0x032a:v7, ""）"" || 0x0412:v7, ""
"" || 0x042e:v13, ""<#>"" || 0x045e:v4, ""(基础值"" || 0x0462:v7, ""+强化值"" || 0x046e:v4, "")
"" || 0x054a:v3, ""di_仓库没装"" || 0x08b2:v6, ""equipstronger"" || 0x0938:v11, ""equipEffect"" || 0x09ca:v12, ""★"" || 0x0a28:v3, ""+"" || 0x0a38:v3, ""("" || 0x0a4e:v15, "")"" || 0x0aba:v1, "":"" || 0x0b96:v17, ""di_强化材料"" || 0x0be6:v20, """" || 0x0c00:v7, "" "" || 0x0c10:v7, ""/"" || 0x0cc4:v9, ""."" || 0x0cd4:v9, ""%"" || 0x0d00:v10, ""di_强化效果"" || 0x0d4e:v11, ""di_攻击"" || 0x0d66:v11, ""di_生命"" || 0x0d7c:v11, ""di_防御"" || 0x0d92:v11, ""di_统兵"" || 0x0e5e:v4, ""di_强化成功率"" || 0x0ef6:v6, ""di_强化保底次数"" || 0x0f6c:v2, ""di_失败掉级率"" || 0x0f92:v2, ""di_失败损毁率"" || 0x1030:v3, ""数量1"" || 0x1052:v4, ""/20"" || 0x106e:v2, ""re_第N次强化""",0x001a:LscriptPages/game/q0;->j0(Ljava/lang/String;)[S || 0x002a:LscriptPages/game/q0;->j0(Ljava/lang/String;)[S || 0x003a:LscriptPages/game/q0;->j0(Ljava/lang/String;)[S || 0x004a:LscriptPages/game/q0;->j0(Ljava/lang/String;)[S || 0x00ea:LscriptPages/data/d;->w(J)I || 0x0108:LscriptPages/data/d;->D(J)Ljava/lang/String; || 0x0118:LscriptPages/data/d;->q(J)I || 0x0128:LscriptPages/data/d;->z(J)I || 0x0138:LscriptPages/data/d;->y(J)V || 0x015e:Lo/a;->S4(I)I || 0x0176:LscriptPages/data/d;->u(J)Ljava/lang/String; || 0x0196:LscriptPages/data/d;->j(J)I || 0x019e:LscriptPages/data/d;->j(J)I || 0x0200:LscriptPages/data/d;->j(J)I || 0x021c:Lo/a;->R3(Ljava/lang/String;)[S || 0x0230:LscriptPages/data/d;->t(J)I || 0x02fc:LscriptPages/data/d;->t(J)I || 0x03a2:LscriptPages/data/d;->i(J)Ljava/lang/String; || 0x03c8:LscriptPages/data/d;->d(J)I || 0x03ee:LscriptPages/data/d;->E(J)I || 0x040a:LscriptPages/data/d;->A(J)Ljava/lang/String; || 0x049a:Lo/a;->R3(Ljava/lang/String;)[S || 0x04b4:Lo/a;->P8(Ljava/lang/String;II)V || 0x050c:LscriptPages/game/q0;->p(Ljava/lang/String;ZZ)V || 0x0644:LscriptPages/data/d;->D(J)Ljava/lang/String; || 0x0654:LscriptPages/data/d;->w(J)I || 0x0668:LscriptPages/data/d;->q(J)I || 0x067c:LscriptPages/data/d;->z(J)I || 0x0690:LscriptPages/data/d;->u(J)Ljava/lang/String; || 0x06a0:LscriptPages/data/d;->t(J)I || 0x0888:LscriptPages/game/z;->u0(J)Z || 0x08b8:LscriptPages/game/q0;->p(Ljava/lang/String;ZZ)V || 0x08f8:LscriptPages/data/d;->w(J)I || 0x0922:LscriptPages/data/d;->x(J)I || 0x0980:LscriptPages/data/d;->D(J)Ljava/lang/String; || 0x098c:LscriptPages/data/d;->q(J)I || 0x0998:LscriptPages/data/d;->z(J)I || 0x09a4:LscriptPages/data/d;->i(J)Ljava/lang/String; || 0x09b6:LscriptPages/data/d;->u(J)Ljava/lang/String; || 0x09c2:LscriptPages/data/d;->t(J)I || 0x09ee:LscriptPages/data/d;->t(J)I || 0x0b50:LscriptPages/data/d;->k(J)[S || 0x0b6a:Lo/a;->p1(J)I || 0x0c84:LscriptPages/data/d;->y(J)V || 0x0d18:LscriptPages/data/d;->y(J)V || 0x0d3c:Lo/a;->S4(I)I || 0x0db8:LscriptPages/data/d;->y(J)V || 0x0ddc:Lo/a;->S4(I)I || 0x0de4:Lo/a;->y2(I)[S || 0x0e8c:LscriptPages/data/d;->y(J)V || 0x0ebc:LscriptPages/data/d;->y(J)V || 0x0f48:LscriptPages/data/d;->p(JZ)I || 0x0f58:LscriptPages/data/d;->q(J)I || 0x0f7e:LscriptPages/data/d;->q(J)I || 0x0fb6:LscriptPages/data/d;->p(JZ)I || 0x1094:LscriptPages/game/q;->O()V || 0x10a0:LscriptPages/game/q;->O()V,0x0000:LscriptPages/game/z;->K1 B || 0x00e2:LscriptPages/game/z;->N1 [J || 0x0100:LscriptPages/game/z;->N1 [J || 0x0110:LscriptPages/game/z;->N1 [J || 0x0120:LscriptPages/game/z;->N1 [J || 0x0130:LscriptPages/game/z;->N1 [J || 0x013e:LscriptPages/data/d;->n I || 0x0146:LscriptPages/data/d;->o I || 0x014e:LscriptPages/data/d;->a [Ljava/lang/String; || 0x0152:LscriptPages/data/d;->e [[S || 0x016e:LscriptPages/game/z;->N1 [J || 0x017e:LscriptPages/game/z;->H1 J || 0x018e:LscriptPages/game/z;->N1 [J || 0x01f8:LscriptPages/game/z;->N1 [J || 0x0228:LscriptPages/game/z;->N1 [J || 0x023e:LscriptPages/data/d;->b [Ljava/lang/String; || 0x02e6:LscriptPages/game/z;->c I || 0x02f4:LscriptPages/game/z;->N1 [J || 0x0360:LscriptPages/game/z;->c I || 0x0368:LscriptPages/game/z;->f I || 0x0374:LscriptPages/game/z;->g I || 0x0390:LscriptPages/game/z;->N1 [J || 0x047a:LscriptPages/game/z;->g I || 0x04ba:LscriptPages/game/z;->P1 [I || 0x04d4:LscriptPages/game/z;->O1 B || 0x04f8:LscriptPages/game/z;->O1 B || 0x053a:LscriptPages/game/z;->h I || 0x0574:LscriptPages/game/z;->h I || 0x0612:LscriptPages/game/z;->O1 B || 0x063c:LscriptPages/game/z;->N1 [J || 0x064c:LscriptPages/game/z;->N1 [J || 0x065c:LscriptPages/game/z;->N1 [J || 0x0670:LscriptPages/game/z;->N1 [J || 0x0684:LscriptPages/game/z;->N1 [J || 0x0698:LscriptPages/game/z;->N1 [J || 0x06c8:LscriptPages/data/d;->b [Ljava/lang/String; || 0x0884:LscriptPages/game/z;->H1 J || 0x08a2:LscriptPages/game/z;->R1 B || 0x08be:LscriptPages/game/z;->Q1 [S || 0x08e4:LscriptPages/game/z;->Q1 [S || 0x08f4:LscriptPages/game/z;->H1 J || 0x091e:LscriptPages/game/z;->H1 J || 0x097c:LscriptPages/game/z;->H1 J || 0x0988:LscriptPages/game/z;->H1 J || 0x0994:LscriptPages/game/z;->H1 J || 0x09a0:LscriptPages/game/z;->H1 J || 0x09b2:LscriptPages/game/z;->H1 J || 0x09be:LscriptPages/game/z;->H1 J || 0x09ea:LscriptPages/game/z;->H1 J || 0x09fc:LscriptPages/data/d;->b [Ljava/lang/String; || 0x0af6:LscriptPages/game/z;->Q1 [S || 0x0b2c:LscriptPages/game/z;->Q1 [S || 0x0b4c:LscriptPages/game/z;->H1 J || 0x0bb8:LscriptPages/game/z;->T1 [S || 0x0bd0:LscriptPages/game/z;->R1 B || 0x0c2e:LscriptPages/game/z;->T1 [S || 0x0c46:LscriptPages/game/z;->c I || 0x0c54:LscriptPages/game/z;->R1 B || 0x0c80:LscriptPages/game/z;->H1 J || 0x0c8a:LscriptPages/data/d;->n I || 0x0c94:LscriptPages/data/d;->o I || 0x0c9c:LscriptPages/data/d;->g [[S || 0x0d14:LscriptPages/game/z;->H1 J || 0x0d1e:LscriptPages/data/d;->n I || 0x0d28:LscriptPages/data/d;->o I || 0x0d30:LscriptPages/data/d;->e [[S || 0x0db4:LscriptPages/game/z;->H1 J || 0x0dbe:LscriptPages/data/d;->n I || 0x0dc8:LscriptPages/data/d;->o I || 0x0dd0:LscriptPages/data/d;->e [[S || 0x0dec:LscriptPages/data/d;->f [[[B || 0x0df0:LscriptPages/data/d;->n I || 0x0df8:LscriptPages/data/d;->o I || 0x0e88:LscriptPages/game/z;->H1 J || 0x0e92:LscriptPages/data/d;->n I || 0x0e9c:LscriptPages/data/d;->o I || 0x0ea4:LscriptPages/data/d;->i [[[I || 0x0eb8:LscriptPages/game/z;->H1 J || 0x0ec2:LscriptPages/data/d;->n I || 0x0ecc:LscriptPages/data/d;->o I || 0x0ed4:LscriptPages/data/d;->i [[[I || 0x0f44:LscriptPages/game/z;->H1 J || 0x0f54:LscriptPages/game/z;->H1 J || 0x0f7a:LscriptPages/game/z;->H1 J || 0x0fb0:LscriptPages/game/z;->H1 J || 0x0ffa:LscriptPages/game/z;->L1 B || 0x1044:LscriptPages/game/z;->L1 B
LscriptPages/game/z;->e0()V,0x366bd4,创建强化弹窗/菜单，包含“强化20次/强化/说明/返回”等控件。,W0 进入 K1=2 后调用。,"0x006e:v8, ""equipstrongermany_str"" || 0x0072:v9, ""equipstronger_str"" || 0x0076:v10, ""equipstronger_illu"" || 0x007a:v11, ""equipstronger_return"" || 0x008e:v14, ""equipstronger"" || 0x00a8:v12, ""强化20次"" || 0x00c4:v12, ""强化"" || 0x00da:v12, ""说明"" || 0x00f0:v12, """"",0x0092:LscriptPages/game/q0;->n(Ljava/lang/String;Z)V || 0x00b2:Lo/a;->s6(Ljava/lang/String;IIILjava/lang/String;I)I || 0x00c8:Lo/a;->s6(Ljava/lang/String;IIILjava/lang/String;I)I || 0x00de:Lo/a;->s6(Ljava/lang/String;IIILjava/lang/String;I)I || 0x00f4:Lo/a;->s6(Ljava/lang/String;IIILjava/lang/String;I)I || 0x00fa:LscriptPages/game/q0;->g1(Ljava/lang/String;)I || 0x0132:LscriptPages/game/q0;->l(Ljava/lang/String;Ljava/lang/String;II)V || 0x01ea:LscriptPages/game/z;->h1()V,0x004c:LscriptPages/game/z;->Q1 [S || 0x008a:LscriptPages/game/z;->U1 Ljava/lang/String; || 0x0196:LscriptPages/game/z;->Q1 [S || 0x01e2:LscriptPages/game/z;->T1 [S || 0x01e6:LscriptPages/game/z;->R1 B
LscriptPages/game/z;->h1()V,0x36a470,停止/重置自动强化：L1=-1、M1=0，并把按钮恢复为“强化20次”。,自动 20 次强化的停止条件和按钮状态由此方法复位。,"0x0020:v1, ""强化20次""",0x0016:Lo/a;->g7(Ljava/lang/String;II)V || 0x0024:Lo/a;->Y6(Ljava/lang/String;Ljava/lang/String;)V,0x0002:LscriptPages/game/z;->L1 B || 0x000a:LscriptPages/game/z;->M1 J || 0x000e:LscriptPages/game/z;->U1 Ljava/lang/String; || 0x001c:LscriptPages/game/z;->U1 Ljava/lang/String;
LscriptPages/game/z;->u0(J)Z,0x356cfc,判断当前装备 id 是否仍存在于 bank0/bank1/当前宿主列表中。,W0 在 K1=2 处理输入前先用它校验 H1 是否仍有效。,,0x000a:LscriptPages/data/d;->C()[J || 0x0014:LscriptPages/data/d;->e()[J || 0x0048:Lo/a;->z2(J)[J,0x0044:LscriptPages/game/z;->I1 J || 0x0050:LscriptPages/game/z;->z1 [J || 0x0060:LscriptPages/game/z;->z1 [J
LscriptPages/game/z;->V(I)[S,0x35c1d0,"按材料 item_id 在 z.S1 中查找入口参数，供 q.T0([S, 4420) 使用。",材料不足入口和 z.a() 的关键 helper。,,,0x000a:LscriptPages/game/z;->S1 [[S
LscriptPages/game/z;->C0(JJI)V,0x3694d4,发送 reqGeneralEquipCtrl / 0x1252：宿主 id 候选、装备 id、action_type。,换装/卸装请求入口。,"0x0004:v0, ""reqGeneralEquipCtrl""",0x0008:LscriptAPI/baseAPI/BaseIO;->openDos(Ljava/lang/String;)V || 0x000e:LscriptAPI/baseAPI/BaseIO;->writeLong(Ljava/lang/String;J)V || 0x0014:LscriptAPI/baseAPI/BaseIO;->writeLong(Ljava/lang/String;J)V,0x0000:LscriptPages/game/z;->F I
LscriptPages/game/z;->G0(JJI)V,0x3697ac,发送 reqGeneralEquipLevelup / 0x1254：宿主 id 候选、装备 id、levelup_mode。,普通强化/特殊强化/自动强化请求入口。,"0x0000:v0, ""reqGeneralEquipLevelup""",0x0004:LscriptAPI/baseAPI/BaseIO;->openDos(Ljava/lang/String;)V || 0x000a:LscriptAPI/baseAPI/BaseIO;->writeLong(Ljava/lang/String;J)V || 0x0010:LscriptAPI/baseAPI/BaseIO;->writeLong(Ljava/lang/String;J)V,0x0024:LscriptPages/game/z;->D3 B
LscriptPages/game/z;->H0(Ljava/lang/String;)V,0x3697e8,接收 0x8254 强化响应，设置 D3=1 并同步 c6/a6|f6 + V5。,自动强化节奏依赖 D3；响应合同由此确认。,"0x0064:v6, ""DEPOT_LEVEL_UP_SUCCESS_EFFECT"" || 0x014e:v8, ""强化等级→20"" || 0x0162:v8, ""强化""",0x0006:LscriptAPI/baseAPI/BaseIO;->readBoolean(Ljava/lang/String;)Z || 0x000e:LscriptAPI/baseAPI/BaseIO;->readUTF(Ljava/lang/String;)Ljava/lang/String; || 0x0016:LscriptAPI/baseAPI/BaseIO;->readByte(Ljava/lang/String;)B || 0x0024:Lo/a;->c6(Ljava/lang/String;)V || 0x002a:Lo/a;->a6(ILjava/lang/String;)V || 0x0036:Lo/a;->f6(ILjava/lang/String;)V || 0x003c:Lo/a;->V5(Ljava/lang/String;)V || 0x0046:Lo/a;->z2(J)[J || 0x0086:LscriptAPI/baseAPI/BaseUtil;->getScreenW()I || 0x0096:LscriptAPI/baseAPI/BaseUtil;->getScreenH()I || 0x00d0:LscriptAPI/baseAPI/BaseUtil;->getScreenW()I || 0x00da:LscriptAPI/baseAPI/BaseUtil;->getScreenH()I || 0x010c:LscriptAPI/baseAPI/BaseUtil;->getScreenW()I || 0x011a:LscriptAPI/baseAPI/BaseUtil;->getScreenH()I,0x0002:LscriptPages/game/z;->D3 B || 0x0042:LscriptPages/game/z;->I1 J || 0x004e:LscriptPages/game/z;->z1 [J
