scene_file,exists,size,version,declared_len,command_count,string_count,actor_candidates,dialogue_preview,stage_refs,note
1-1-1.sc,yes,1332,1,1324,43,8,斥候,东汉末年，山贼祸乱于世，战火四起，震惊朝野 | 一日，朝中遣使来访—— | 御  使：圣旨到—— | 奉天承运 皇帝诏曰<br/>近日山贼党四处作乱 此社稷之大害<br/>朕命卿克日出兵平乱 钦此 | 皇上命我起兵，现万事俱备，唯兵粮迟迟未到……,1:奉诏讨贼,
1-1-2.sc,yes,238,1,230,10,3,山贼贼寇,大胆贼寇！胆敢打劫军粮！,1:奉诏讨贼,
1-1-3.sc,yes,346,1,338,14,3,,快说！你们把粮草劫到哪去了！ | 给我追！,1:奉诏讨贼,
1-2-1.sc,yes,524,1,516,18,3,,斥  候：山贼将粮草运入山寨了，我得速速禀报将军。 | 斥  候：报告将军，前面发现贼寇山寨，我军粮草已被贼党送入寨中！ | 正好将其一网打尽！立刻进攻！,2:追击贼匪,
1-2-3.sc,yes,422,1,414,17,3,,哼！不堪一击！ | 山贼：不好！有人闯寨！快去报告孙仲大人！ | 随我灭进去！消灭山贼！,2:追击贼匪,
1-3-1.sc,yes,478,1,470,20,3,孙仲,山  贼：报！有一批官兵突破山寨口，正要灭上来！ | 孙  仲：什么！兄弟们集合！我们一起灭退官兵！,3:山贼营寨,
1-3-2.sc,yes,410,1,402,13,6,孙仲 / 曹操,逆贼！敢抢军粮！ | 孙 仲：废话少说！看招！ | 曹  操：将军，我来助你一臂之力！ | 是曹将军！太好了，我们一同破敌！,3:山贼营寨,
1-3-3.sc,yes,830,1,822,27,9,曹操 / 夏侯渊 / 斥候,曹  操：将军此战损失惨重，我拨一些军士给你。 | 谢曹将军！ | 后会有期！ | 斥  候：报！在敌方首领身上搜出密信一封。请过目！ | 山贼竟然密谋数日内攻打洛阳！我们得尽快去协防！,3:山贼营寨,
1-4-1.sc,yes,390,1,382,15,3,,来人啊！ | 洛阳即将遭到山贼的攻击。立刻整顿军队，前往援助！ | 步  兵：遵命！,5:守卫洛阳,
1-4-2.sc,yes,532,1,524,19,12,刘备 / 关羽 / 张飞 / 孙坚 / 曹操 / 山贼,诸位将军！我来助你们！ | 曹  操：援军来了！贼军势大，但终究是乌合之众！我们齐心攻破他们的阵型！,5:守卫洛阳,
