response_opcode,code,meaning,evidence,confidence
0x8233,ctrl_type=0,劝降前置消耗提示,q.o1 读取两项 long 成本后用 type1/z.n0 取将领名，弹 `re_提示劝降俘虏`，z.p0=4。,high
0x8233,ctrl_type=1,营救前置消耗提示,q.o1 读取两项 long 成本后用 type0/z.n0 取将领名，弹 `re_提示营救被俘`，z.p0=2。,high
0x8233,not_found_flag=1,俘虏不在,q.o1 第二个 byte 为 1 时直接显示 `di_提示俘虏不在`。,high
0x8234,0 or 1,劝降结果成功类/状态变更类，需同时刷新 type0 与 type1 对象表,q.b1 对 0/1 调用 `Lo/a.f6(0)` 与 `Lo/a.f6(1)`，并记录“获得名将”。是否 0/1 细分仍需真实样本。,medium-high
0x8234,-1,俘虏不在,`di_提示俘虏不在`。,high
0x8234,-2,武将上限,`di_提示武将上限`。,high
0x8234,-3,劝降频率过快,`di_提示劝降频率过快`。,high
0x8234,-4,营救频率过快,`di_提示营救频率过快`。,high
0x8234,-5,铜钱不足,`di_提示铜钱不足`。,high
0x8234,-6,黄金不足,`di_黄金不足`。,high
0x8234,-7,劝降失败，将领没逃,`di_提示劝降失败将领没逃`。,high
0x8234,-8,劝降失败，将领逃跑,`di_提示劝降失败将领逃跑`。,high
0x8234,-9,营救失败，没有突围,`di_提示营救失败没有突围`。,high
0x8234,-10,营救失败，突围失败,`di_提示营救失败突围失败`。,high
0x8234,-11,劝降超时,`di_提示劝降超时`。,high
0x8234,-20,已被劝降,`di_提示已被劝降`。,high
0x8236,0,释放成功,q.c1 成功分支 `f6(1)` 并显示 `di_提示释放成功`。,high
0x8236,non-zero,释放失败,q.c1 非 0 显示 `di_提示释放失败`。,high
0x8238,0/1,营救成功类/状态变更类,q.d1 将 0 显示为 `di_提示营救成功`；1 跳过失败文案但仍走刷新/成功记录路径，细分需真实样本。,medium-high
0x8238,-20,已被劝降,q.d1 显示 `di_提示已被劝降`。,high
0x8238,other non-zero,营救失败,q.d1 默认显示 `di_提示营救失败`。,high
0x823b,0,放弃成功,q.a1 成功分支 `f6(0)` 并显示 `di_提示放弃成功`。,high
0x823b,non-zero,放弃失败,q.a1 非 0 显示 `di_提示放弃失败`。,high
