规则项,操作类型,资源类型,客户端变量/字段,公式/字段顺序,置信度,证据,服务端重建建议
道路作用,道路值,-,y5/b6 或 k.Z0,道路值越高，军队行动速度越快；道路不通时无法阻击,高,sentence_rule_hits #209/#683；p.s/p.q 显示 di_道路,服务端需维护 city.road_value，并在行军时间/阻击可达性中使用
城墙作用,城墙/城防值,-,A5/d6 或 k.Y0,城墙提高城池防御值；城防越高驻防部队战斗力越高；攻城可破坏城墙,高,sentence_rule_hits #208/#114/#267；冲城车描述只攻击城墙,服务端需维护 city.wall_value，并在攻城战城墙目标/守军加成中使用
修墙换算,修墙,粮食,"k.i1=1, k.x1=0, k.Y0[0/1], data.i.e","可修城墙=floor(粮食/60)；最大粮食输入=min(当前粮食,(墙上限-当前墙)*60)",高,"k.d: gap=(Y0[1]-Y0[0]), gap*60 与 data.i.e 取小；文本 #211",服务端按 60 粮食=1 城墙；输入应按粮食数量提交，向下取整
修墙贡献显示,修墙,粮食,k.b1,"贡献值显示=min(floor(粮食输入/3000), b1)",中高,"k.D1: y1/3000 -> min(..., b1)，re_粮食城墙 数量3",客户端确认文案；实际贡献仍服务端权威
修墙换算,修墙,黄金,"k.i1=1, k.x1=1, k.Y0[0/1], data.g.F",可修城墙=黄金*1000；最大黄金输入=ceil((墙上限-当前墙)/1000)，再受黄金余额限制,高,k.d: gap/1000，余数>0 时至少 1；文本 #216,服务端按 1 黄金=1000 城墙；注意接近上限时截断到剩余缺口
修墙贡献显示,修墙,黄金,k.b1,"贡献值显示=min(黄金输入*20, b1)",中高,"k.D1: y1*20 -> min(..., b1)，re_黄金城墙 数量3",客户端确认文案；实际贡献仍服务端权威
修路换算,修路,粮食,"k.i1=2, k.x1=0, k.Z0[0/1], data.i.e","可修道路=floor(粮食/300)；最大粮食输入=min(当前粮食,(道路上限-当前道路)*300)",高,"k.d: gap=(Z0[1]-Z0[0]), gap*300 与 data.i.e 取小；文本 #213",服务端按 300 粮食=1 道路
修路贡献显示,修路,粮食,k.d1,"贡献值显示=min(floor(粮食输入/3000), d1)",中高,"k.D1: y1/3000 -> min(..., d1)，re_粮食道路 数量3",客户端确认文案；实际贡献仍服务端权威
修路换算,修路,黄金,"k.i1=2, k.x1=1, k.Z0[0/1], data.g.F",可修道路=黄金*500；最大黄金输入=ceil((道路上限-当前道路)/500)，再受黄金余额限制,高,k.d: gap/500，余数>0 时至少 1；文本 #217,服务端按 1 黄金=500 道路；注意接近上限时截断到剩余缺口
修路贡献显示,修路,黄金,k.d1,"贡献值显示=min(黄金输入*50, d1)",中高,"k.D1: y1*50 -> min(..., d1)，re_黄金道路 数量3",客户端确认文案；实际贡献仍服务端权威
修筑请求协议,修墙/修路/修塔,粮食/黄金,"k.i1(J,String,int,int,long)","openDos(""reqCityGarrisonList""); writeByte(0); writeLong(cityId); writeByte(type); writeByte(currency); writeLong(amount); opcode 4868",高,"k.i1 disasm；D1 确认后调用 k.i1(X0,null,type,x1,y1)","服务端需按 opcode 4868 接收；type: 1=修墙,2=修路,3=修塔候选；currency: 0=粮食,1=黄金；amount=资源输入数量"
修筑状态机,修筑 UI,-,k.W0/k.x1/k.i1/k.y1,W0=2 输入数量；W0=3 确认；确认后发送 k.i1；k.x1=0粮食/1黄金；k.y1=输入数量,中高,k.d 进入输入；k.D1 确认并发送,服务端只需处理最终请求；客户端 UI 本地计算只是提示
道路到速度公式,行军速度,-,未知,仅确认道路值越高速度越快；具体速度公式未恢复,中,文本 #209；未在本轮找到数值公式闭环,服务端可先线性/配置化实现，后续动态样本拟合
城墙到战斗加成,守军/攻城,-,未知,仅确认城防越高驻防部队战斗力越高，攻城可破坏城墙；具体加成公式未恢复,中,文本 #208/#114/#267；战斗回放层仍由服务端下发结果,服务端需权威计算，公式可后续战报样本拟合
