target_method,opcode,request_name,final_signature,caller,caller_code_off,invoke_offset,invoke_instruction,call_semantics,arg0_source,arg0_name,arg1_source,arg1_name,arg2_source,arg2_name,evidence_note,confidence,nearby_instructions
LscriptPages/game/z;->C0(JJI)V,0x1252,reqGeneralEquipCtrl,"C0(host_id, equipment_id, action_type)",LscriptPages/game/k0;->f0()I,0x3bf6cc,0x0a72,"v4, v5, v7, v8, v3, LscriptPages/game/z;->C0(J J I)V",装备仓库/管理页卸下 bank1 已穿戴装备。,data.d.r(data.d.C()[index]),host_id,data.d.C()[index],equipment_id,const 1,action_type=1/dropoff,data.d.C() 返回 bank1 已装备 id 列表；data.d.r(equip) 返回宿主反链。,high,"0x0a4c:const/4 v3, 1 || 0x0a4e:sput-byte v3, LscriptPages/game/z;->C3 B || 0x0a52:invoke-static LscriptPages/data/d;->C()[J || 0x0a58:move-result-object v4 || 0x0a5a:aget-wide v5, v4, v0 || 0x0a5e:invoke-static v5, v6, LscriptPages/data/d;->r(J)J || 0x0a64:move-result-wide v4 || 0x0a66:invoke-static LscriptPages/data/d;->C()[J || 0x0a6c:move-result-object v6 || 0x0a6e:aget-wide v7, v6, v0 || 0x0a72:invoke-static v4, v5, v7, v8, v3, LscriptPages/game/z;->C0(J J I)V || 0x0a78:const/4 v0, 0 || 0x0a7a:invoke-static v2, v1, v0, LscriptPages/data/g;->I1(I Ljava/lang/String; [[Ljava/lang/String;)Ljava/lang/String; || 0x0a80:move-result-object v0 || 0x0a82:invoke-static v0, LscriptPages/game/r0;->c0(Ljava/lang/String;)V"
LscriptPages/game/z;->C0(JJI)V,0x1252,reqGeneralEquipCtrl,"C0(host_id, equipment_id, action_type)",LscriptPages/game/k0;->f0()I,0x3bf6cc,0x0acc,"v4, v5, v7, v8, v0, LscriptPages/game/z;->C0(J J I)V",装备仓库/管理页卸下 u2 列表中的已穿戴装备。,data.d.r(k0.u2[index]),host_id,k0.u2[index],equipment_id,const 1,action_type=1/dropoff,同样由装备实例反查宿主；提示 di_联网卸载装备。,high,"0x0aa8:goto/16 +079h || 0x0aac:array-length v4, v4 || 0x0aae:sub-int/2addr v3, v4 || 0x0ab0:sput-byte v0, LscriptPages/game/z;->C3 B || 0x0ab4:sget-object v4, LscriptPages/game/k0;->u2 [J || 0x0ab8:aget-wide v5, v4, v3 || 0x0abc:invoke-static v5, v6, LscriptPages/data/d;->r(J)J || 0x0ac2:move-result-wide v4 || 0x0ac4:sget-object v6, LscriptPages/game/k0;->u2 [J || 0x0ac8:aget-wide v7, v6, v3 || 0x0acc:invoke-static v4, v5, v7, v8, v0, LscriptPages/game/z;->C0(J J I)V || 0x0ad2:const/4 v0, 0 || 0x0ad4:invoke-static v2, v1, v0, LscriptPages/data/g;->I1(I Ljava/lang/String; [[Ljava/lang/String;)Ljava/lang/String; || 0x0ada:move-result-object v0 || 0x0adc:invoke-static v0, LscriptPages/game/r0;->c0(Ljava/lang/String;)V"
LscriptPages/game/z;->C0(JJI)V,0x1252,reqGeneralEquipCtrl,"C0(host_id, equipment_id, action_type)",LscriptPages/game/k0;->f0()I,0x3bf6cc,0x0c2e,"v4, v5, v6, v7, v0, LscriptPages/game/z;->C0(J J I)V",从仓库/装备列表给选定宿主装备当前装备。,selected host id in local v4/v5,host_id,gameHD/c.a0[grid_index],equipment_id,const 0,action_type=0/equip,"提示 di_提示装备中；第二 long 来自装备 id 数组，第一 long 在同分支中作为 Lo/a.c3(0,host) 输入。",medium-high,"0x0c0c:add-int/2addr v3, v0 || 0x0c0e:sget-object v0, LscriptPages/gameHD/c;->a0 [J || 0x0c12:aget-wide v6, v0, v3 || 0x0c16:const/4 v0, 1 || 0x0c18:sput-byte v0, LscriptPages/game/z;->C3 B || 0x0c1c:const/4 v0, 0 || 0x0c1e:invoke-static v2, v1, v0, LscriptPages/data/g;->I1(I Ljava/lang/String; [[Ljava/lang/String;)Ljava/lang/String; || 0x0c24:move-result-object v0 || 0x0c26:invoke-static v0, LscriptPages/game/r0;->c0(Ljava/lang/String;)V || 0x0c2c:const/4 v0, 0 || 0x0c2e:invoke-static v4, v5, v6, v7, v0, LscriptPages/game/z;->C0(J J I)V || 0x0c34:const/4 v6, 0 || 0x0c36:goto/16 +083h || 0x0c3a:sget-boolean v0, LscriptPages/game/k0;->m2 Z || 0x0c3e:if-eqz v0, +04dh"
LscriptPages/game/z;->C0(JJI)V,0x1252,reqGeneralEquipCtrl,"C0(host_id, equipment_id, action_type)",LscriptPages/game/k0;->f0()I,0x3bf6cc,0x0c8c,"v4, v5, v1, v2, v0, LscriptPages/game/z;->C0(J J I)V",从 data.d.e()/bank0 列表给选定宿主装备。,selected host id in local v4/v5,host_id,data.d.e()[selected],equipment_id,const 0,action_type=0/equip,data.d.e() 是 bank0 装备 id 数组；提示 di_提示装备中。,medium-high,"0x0c64:invoke-static v2, v1, v0, LscriptPages/data/g;->I1(I Ljava/lang/String; [[Ljava/lang/String;)Ljava/lang/String; || 0x0c6a:move-result-object v0 || 0x0c6c:invoke-static v0, LscriptPages/game/r0;->c0(Ljava/lang/String;)V || 0x0c72:invoke-static LscriptPages/data/d;->e()[J || 0x0c78:move-result-object v0 || 0x0c7a:sget-object v1, LscriptPages/game/k0;->f2 Ljava/lang/String; || 0x0c7e:invoke-static v1, Lv/a;->a0(Ljava/lang/String;)I || 0x0c84:move-result v1 || 0x0c86:aget-wide v1, v0, v1 || 0x0c8a:const/4 v0, 0 || 0x0c8c:invoke-static v4, v5, v1, v2, v0, LscriptPages/game/z;->C0(J J I)V || 0x0c92:goto -2fh || 0x0c94:sget-object v0, LscriptPages/game/k0;->f2 Ljava/lang/String; || 0x0c98:invoke-static v0, Lv/a;->a0(Ljava/lang/String;)I || 0x0c9e:move-result v0"
LscriptPages/game/z;->C0(JJI)V,0x1252,reqGeneralEquipCtrl,"C0(host_id, equipment_id, action_type)",LscriptPages/game/k0;->f0()I,0x3bf6cc,0x0cd0,"v4, v5, v0, v1, v2, LscriptPages/game/z;->C0(J J I)V",从 data.d.e()/bank0 列表给选定宿主装备。,selected host id in local v4/v5,host_id,data.d.e()[selected - len(data.d.e())],equipment_id,const 0,action_type=0/equip,与 0x0c8c 同一 UI 路径的另一列表偏移分支。,medium-high,"0x0cac:const/4 v3, 1 || 0x0cae:sput-byte v3, LscriptPages/game/z;->C3 B || 0x0cb2:const/4 v3, 0 || 0x0cb4:invoke-static v2, v1, v3, LscriptPages/data/g;->I1(I Ljava/lang/String; [[Ljava/lang/String;)Ljava/lang/String; || 0x0cba:move-result-object v1 || 0x0cbc:invoke-static v1, LscriptPages/game/r0;->c0(Ljava/lang/String;)V || 0x0cc2:invoke-static LscriptPages/data/d;->e()[J || 0x0cc8:move-result-object v1 || 0x0cca:aget-wide v0, v1, v0 || 0x0cce:const/4 v2, 0 || 0x0cd0:invoke-static v4, v5, v0, v1, v2, LscriptPages/game/z;->C0(J J I)V || 0x0cd6:goto -51h || 0x0cd8:sget v0, LscriptPages/game/k0;->v2 I || 0x0cdc:sget-object v3, LscriptPages/game/k0;->s2 [J || 0x0ce0:array-length v6, v3"
LscriptPages/game/z;->C0(JJI)V,0x1252,reqGeneralEquipCtrl,"C0(host_id, equipment_id, action_type)",LscriptPages/game/k0;->f0()I,0x3bf6cc,0x0d0a,"v4, v5, v1, v2, v6, LscriptPages/game/z;->C0(J J I)V",从 k0.s2 列表给选定宿主装备。,selected host id in local v4/v5,host_id,k0.s2[k0.v2],equipment_id,const 0,action_type=0/equip,k0.s2/u2 为装备候选列表；提示 di_提示装备中。,medium-high,"0x0ce6:const/4 v0, 1 || 0x0ce8:sput-byte v0, LscriptPages/game/z;->C3 B || 0x0cec:const/4 v0, 0 || 0x0cee:invoke-static v2, v1, v0, LscriptPages/data/g;->I1(I Ljava/lang/String; [[Ljava/lang/String;)Ljava/lang/String; || 0x0cf4:move-result-object v0 || 0x0cf6:invoke-static v0, LscriptPages/game/r0;->c0(Ljava/lang/String;)V || 0x0cfc:sget-object v0, LscriptPages/game/k0;->s2 [J || 0x0d00:sget v1, LscriptPages/game/k0;->v2 I || 0x0d04:aget-wide v1, v0, v1 || 0x0d08:const/4 v6, 0 || 0x0d0a:invoke-static v4, v5, v1, v2, v6, LscriptPages/game/z;->C0(J J I)V || 0x0d10:goto +16h || 0x0d12:const/4 v6, 0 || 0x0d14:const/4 v7, 1 || 0x0d16:const/4 v8, 0"
LscriptPages/game/z;->C0(JJI)V,0x1252,reqGeneralEquipCtrl,"C0(host_id, equipment_id, action_type)",LscriptPages/game/k0;->f0()I,0x3bf6cc,0x0d36,"v4, v5, v0, v1, v6, LscriptPages/game/z;->C0(J J I)V",从 k0.u2 列表给选定宿主装备。,selected host id in local v4/v5,host_id,k0.u2[index],equipment_id,const 0,action_type=0/equip,k0.s2/u2 为装备候选列表；提示 di_提示装备中。,medium-high,"0x0d14:const/4 v7, 1 || 0x0d16:const/4 v8, 0 || 0x0d18:array-length v3, v3 || 0x0d1a:sub-int/2addr v0, v3 || 0x0d1c:sput-byte v7, LscriptPages/game/z;->C3 B || 0x0d20:invoke-static v2, v1, v8, LscriptPages/data/g;->I1(I Ljava/lang/String; [[Ljava/lang/String;)Ljava/lang/String; || 0x0d26:move-result-object v1 || 0x0d28:invoke-static v1, LscriptPages/game/r0;->c0(Ljava/lang/String;)V || 0x0d2e:sget-object v1, LscriptPages/game/k0;->u2 [J || 0x0d32:aget-wide v0, v1, v0 || 0x0d36:invoke-static v4, v5, v0, v1, v6, LscriptPages/game/z;->C0(J J I)V || 0x0d3c:return v6 || 0x0d3e:const/4 v0, 3 || 0x0d40:const/4 v1, 0 || 0x0d42:if-ne v2, v0, +00fh"
LscriptPages/game/z;->C0(JJI)V,0x1252,reqGeneralEquipCtrl,"C0(host_id, equipment_id, action_type)",LscriptPages/game/z;->W0()I,0x3582cc,0x013c,"v0, v1, v2, v3, v8, LscriptPages/game/z;->C0(J J I)V",装备弹窗卸装。,z.I1,host_id,z.H1,equipment_id,const 1,action_type=1/dropoff,提示字符串 di_联网卸载装备；H1 是当前装备实例。,high,"0x0116:move-result-object v0 || 0x0118:invoke-static v0, LscriptPages/game/r0;->d0(Ljava/lang/String;)V || 0x011e:goto +28h || 0x0120:const-string v0, ""equippop_dropoff"" || 0x0124:invoke-virtual v4, v0, Ljava/lang/String;->equals(Ljava/lang/Object;)Z || 0x012a:move-result v0 || 0x012c:if-eqz v0, +017h || 0x0130:sput-byte v6, LscriptPages/game/z;->C3 B || 0x0134:sget-wide v0, LscriptPages/game/z;->I1 J || 0x0138:sget-wide v2, LscriptPages/game/z;->H1 J || 0x013c:invoke-static v0, v1, v2, v3, v8, LscriptPages/game/z;->C0(J J I)V || 0x0142:const/16 v0, 1352 || 0x0146:const-string v1, ""di_联网卸载装备"" || 0x014a:invoke-static v0, v1, v5, LscriptPages/data/g;->I1(I Ljava/lang/String; [[Ljava/lang/String;)Ljava/lang/String; || 0x0150:move-result-object v0"
LscriptPages/game/z;->C0(JJI)V,0x1252,reqGeneralEquipCtrl,"C0(host_id, equipment_id, action_type)",LscriptPages/game/z;->W0()I,0x3582cc,0x033e,"v1, v2, v7, v8, v6, LscriptPages/game/z;->C0(J J I)V",装备弹窗从仓库列表换装。,z.I1,host_id,z.N1[selected],equipment_id,const 0,action_type=0/equip,"提示字符串 di_联网换装；N1 由 data.d.f(1,J1) 生成。",high,"0x0316:if-ne v1, v8, +023h || 0x031a:invoke-static v0, v8, LscriptPages/game/q0;->n(Ljava/lang/String; Z)V || 0x0320:goto +1fh || 0x0322:if-ne v1, v9, +01dh || 0x0326:sput-byte v6, LscriptPages/game/z;->C3 B || 0x032a:sget-wide v1, LscriptPages/game/z;->I1 J || 0x032e:sget-object v3, LscriptPages/game/z;->N1 [J || 0x0332:invoke-static v0, Lv/a;->a0(Ljava/lang/String;)I || 0x0338:move-result v0 || 0x033a:aget-wide v7, v3, v0 || 0x033e:invoke-static v1, v2, v7, v8, v6, LscriptPages/game/z;->C0(J J I)V || 0x0344:const/16 v0, 1353 || 0x0348:const-string v1, ""di_联网换装"" || 0x034c:invoke-static v0, v1, v5, LscriptPages/data/g;->I1(I Ljava/lang/String; [[Ljava/lang/String;)Ljava/lang/String; || 0x0352:move-result-object v0"
LscriptPages/game/z;->C0(JJI)V,0x1252,reqGeneralEquipCtrl,"C0(host_id, equipment_id, action_type)",LscriptPages/gameHD/c;->n()I,0x41cc38,0x09a4,"v0, v1, v11, v12, v3, LscriptPages/game/z;->C0(J J I)V",HD 装备网格卸装。,data.d.r(gameHD/c.a0[grid_index]),host_id,gameHD/c.a0[grid_index],equipment_id,const 1,action_type=1/dropoff,前置确认弹窗 re_提示丢弃装备；提示 di_联网卸载装备。,high,"0x0980:mul-int v4, v4, v5 || 0x0984:add-int/2addr v4, v3 || 0x0986:sget-object v3, LscriptPages/gameHD/c;->a0 [J || 0x098a:aget-wide v11, v3, v4 || 0x098e:if-nez v0, +01ah || 0x0992:sput v10, LscriptPages/gameHD/c;->d0 I || 0x0996:const/4 v3, 1 || 0x0998:sput-byte v3, LscriptPages/game/z;->C3 B || 0x099c:invoke-static v11, v12, LscriptPages/data/d;->r(J)J || 0x09a2:move-result-wide v0 || 0x09a4:invoke-static v0, v1, v11, v12, v3, LscriptPages/game/z;->C0(J J I)V || 0x09aa:const/16 v0, 1352 || 0x09ae:const-string v1, ""di_联网卸载装备"" || 0x09b2:invoke-static v0, v1, v9, LscriptPages/data/g;->I1(I Ljava/lang/String; [[Ljava/lang/String;)Ljava/lang/String; || 0x09b8:move-result-object v0"
