category,protocol,opcode_hex,opcode_dec,method,direction,order,field,io,evidence,meaning,confidence
普通建筑动作,fiefMove_build_action,0x1200,4608,"LscriptPages/game/q;->h(int,long,int,int)",request,1,action,writeByte,q.h 00000a int-to-byte; 00000c writeByte; q.u1/q.v1 pass 0; q.w1 pass 1; q.t1 pass 2,建筑动作码：0=建造或升级；1=尝试拆除；2=取消建造/升级候选。具体子动作由后续两个 short 与 UI 分支共同决定。,中高
普通建筑动作,fiefMove_build_action,0x1200,4608,"LscriptPages/game/q;->h(int,long,int,int)",request,2,fief_id,writeLong,q.h 000012 writeLong(v2/v3); callers use q.o,目标封地 ID。,高
普通建筑动作,fiefMove_build_action,0x1200,4608,"LscriptPages/game/q;->h(int,long,int,int)",request,3,slot_or_building_slot_key,writeShort,"q.h 000018 int-to-short(v4); 00001a writeShort; q.u1/q.v1/q.w1/q.t1 use Lo/a.Q1(q.p,q.a0)","建筑格子/位置键。建造、升级、拆除、取消均从 Q1(p,a0) 取得。",中高
普通建筑动作,fiefMove_build_action,0x1200,4608,"LscriptPages/game/q;->h(int,long,int,int) -> data.f.u(...)",request,4,building_type_or_current_building_type,writeShort,"q.h 000020 int-to-short(v5); 000026 data.f.u writes second short then d0(0x1200); q.u1 passes g0[f0]; q.v1/q.w1/q.t1 pass Lo/a.Z1(q.p,q.a0)",建造时为选择的目标建筑类型；升级/拆除/取消时为当前位置已有建筑类型/建筑键。,中高
普通建筑动作语义,fiefMove_build_create,0x1200,4608,LscriptPages/game/q;->u1() -> q.h(...),request_callsite,1,"action=0; fief_id=q.o; slot=Q1(p,a0); building_type=g0[f0]",call q.h,q.u1 000184-0001a4; 0001ae string di_建造,新建建筑入口。客户端先校验前提/队列，再发送 0x1200。,高
普通建筑动作语义,fiefMove_build_upgrade,0x1200,4608,LscriptPages/game/q;->v1() -> q.h(...),request_callsite,2,"action=0; fief_id=q.o; slot=Q1(p,a0); building_type=Z1(p,a0)",call q.h,q.v1 000236-00025a; 000224 string di_升级; method start v2=0,升级建筑入口。与新建共用 action=0；通过第 4 字段是否为已有建筑类型区分。,中高
普通建筑动作语义,fiefMove_build_remove_try,0x1200,4608,LscriptPages/game/q;->w1() -> q.h(...),request_callsite,3,"action=1; fief_id=q.o; slot=Q1(p,a0); building_type=Z1(p,a0)",call q.h,q.w1 00007c-0000a0; 0000aa string di_联网尝试拆除,尝试拆除单个建筑。若进入“全部拆除/队列”分支，则走 0x120D。,中高
普通建筑动作语义,fiefMove_build_cancel,0x1200,4608,LscriptPages/game/q;->t1() -> q.h(...),request_callsite,4,"action=2; fief_id=q.o; slot=Q1(p,a0); building_type=Z1(p,a0)",call q.h,"q.t1 start 000010 const/4 v6,2; cancelbuild 000c9c-000cc0 passes v6; 000c8a string di_联网取消操作",取消当前建造/升级操作候选。此前误判 action=6 已更正为 2；v3/v5 的 6 是按键/状态判断，不是发送动作码。,中高
建筑队列/拆除,buildQueueAdd,0x120D,4621,LscriptPages/game/q;->K1(boolean) / q.w1(),request,1,fief_id,writeLong,q.K1 000322-000332; q.w1 000106-000116,目标封地 ID。,高
建筑队列/拆除,buildQueueAdd,0x120D,4621,LscriptPages/game/q;->K1(boolean) / q.w1(),request,2,building_instance_or_slot_id,writeLong,"q.K1 00031a H1(p,a0) -> 000332 writeLong; q.w1 0000fe H1(p,a0) -> 000116 writeLong",建筑实例/格子长整型键。文案为“联网拆除全部”，但响应 q.e 文案为“增加建筑列队成功”，语义应按服务端动作上下文解释。,中
