domain,container,field,canonical_name,type,sync_source,meaning,confidence,evidence,server_rebuild_note,source
player_identity,LscriptPages/data/i;,a,role_id_or_player_id,long,scriptPages/data/i.x full role sync; Lo/a.a8 reqLoadGenerals writes data.i.a,当前角色/玩家 id；多个基础请求用它作为角色标识。,medium-high,A6_F6_GENERAL_SYNC: reqLoadGenerals / 0x1215 请求体 writeLong(scriptPages/data/i.a)；resource_sync_chains 称 i.x 首字段为 role_id。,作为账号下角色主键保存；登录/进服后需要与会话绑定。,/Users/huangchangwei/Desktop/gitSpaceC/Toy/帝王三国/reverse_cases/apk-sanguo-diwanglianmeng-166/analysis/client_understanding/A6_F6_GENERAL_SYNC.md
item_stack,Lo/a,bv[],item_or_stack_id,short[],Lo/a.V5 stack block,通用条目/道具栈 id；例如 item_id=286 将神魂、item_id=399 玉石。,high,V5 读取 stack_count 后 readShort->bv；Lo/a.p1(id) 按 bv 匹配并累加 cv；培养 UI p1(286)=将神魂库存。,背包/道具栈同步主 id；未来服务端下发 V5 时必须保持 bv/cv/dv 三数组并行。,/Users/huangchangwei/Desktop/gitSpaceC/Toy/帝王三国/reverse_cases/apk-sanguo-diwanglianmeng-166/analysis/client_understanding/V5_COMPOSITE_SYNC_BLOCK.md
item_stack,Lo/a,cv[],item_or_stack_quantity,short[],Lo/a.V5 stack block,通用条目/道具栈数量/值；p1(id) 会按 id 累加该字段。,high,V5 readShort->cv；Lo/a.p1(J) 对同 id 累加 cv。,道具数量权威值；使用道具/购买/奖励后需要通过 V5 或相邻同步链刷新。,/Users/huangchangwei/Desktop/gitSpaceC/Toy/帝王三国/reverse_cases/apk-sanguo-diwanglianmeng-166/analysis/client_understanding/V5_COMPOSITE_SYNC_BLOCK.md
item_stack,Lo/a,dv[],item_or_stack_long_param,long[],Lo/a.V5 stack block,通用条目/道具栈长整型参数；可能承载时效、绑定、实例参数或保留字段。,medium,V5 stack block 每条 readLong->dv；当前 p1(id) 只用 bv/cv，dv 语义需按道具类型继续验证。,先按原样字段保留；服务端模型可命名为 item_stack_param_long。,/Users/huangchangwei/Desktop/gitSpaceC/Toy/帝王三国/reverse_cases/apk-sanguo-diwanglianmeng-166/analysis/client_understanding/V5_COMPOSITE_SYNC_BLOCK.md
object_sync,Lo/a,"a6(type, stream)",single_object_incremental_sync,parser,a6 wrapper,读取 object_id 后在 co[type] 中定位已有 slot，再调用 b6 更新单个对象。,high,"A6_F6_GENERAL_SYNC 3.1: object_id=readLong; idx=c3(type,id); idx>=0 才 b6。",用于培养、装备、营救等单对象刷新；服务端不得给不存在 slot 的 a6 期望客户端自动新增。,/Users/huangchangwei/Desktop/gitSpaceC/Toy/帝王三国/reverse_cases/apk-sanguo-diwanglianmeng-166/analysis/client_understanding/A6_F6_GENERAL_SYNC.md
object_sync,Lo/a,"f6(type, stream)",object_table_full_sync,parser,f6 list rebuild,按 count 全量重建 co[type] 与 b6 字段表；type0 会按 id 保留装备绑定侧表。,high,A6_F6_GENERAL_SYNC 3.2；监狱动作 0x8234/0x8236/0x8238/0x823b 也按动作调用 f6。,登录/列表刷新/监狱动作可用；count 最大容量按客户端数组 30 设计。,/Users/huangchangwei/Desktop/gitSpaceC/Toy/帝王三国/reverse_cases/apk-sanguo-diwanglianmeng-166/analysis/client_understanding/A6_F6_GENERAL_SYNC.md
fief_sync,Lo/a,ov[],fief_id_table,long[],Lo/a.Z5 fief container,封地 id 表；Lo/a.a3(index) 返回 ov[index]，Lo/a.p3(fief_id) 反查 index。,high,p3(J) 在 ov 中线性查找；q.M1(J) 把输入写入 z.D 后用 p3 定位当前封地 index。,封地同步主键表；z.D/监狱 host id 最终落在该 id 空间。,/Users/huangchangwei/Desktop/gitSpaceC/Toy/帝王三国/reverse_cases/apk-sanguo-diwanglianmeng-166/analysis/client_understanding/PRISON_ACTION_RESPONSE_CONTRACTS.md
global/player,scriptPages/data/i,d,当前铜钱,long,readLong in i.x/i.b/i.z; updated by awards,当前铜钱,high,g0.e uses it under di_标题铜钱; k0.o row label di_标题铜钱; i.A hourly adds m output into d; data.g.w0(-1) returns d,服务端权威保存；同步登录/增量/奖励后下发,/Users/huangchangwei/Desktop/gitSpaceC/Toy/帝王三国/reverse_cases/apk-sanguo-diwanglianmeng-166/analysis/game_rules/resource_system/resource_field_mapping.csv
global/player,scriptPages/data/i,e,当前粮食,long,readLong in i.x/i.b/i.z; updated by awards,当前粮食,high,g0.e uses it under di_标题粮食; k0.o row label di_标题粮食; i.A hourly adds n output into e; data.g.w0(-2) returns e,服务端权威保存；同步登录/增量/奖励后下发,/Users/huangchangwei/Desktop/gitSpaceC/Toy/帝王三国/reverse_cases/apk-sanguo-diwanglianmeng-166/analysis/game_rules/resource_system/resource_field_mapping.csv
global/player,scriptPages/data/i,m,总产钱/小时,int,readInt in i.x/i.b/i.z,总产钱/小时,high,q.u labels i.m as di_总产钱; i.A uses m*(now-G)/3600000 to add d,由服务端按封地/建筑/buff计算；客户端只做显示侧本地递增,/Users/huangchangwei/Desktop/gitSpaceC/Toy/帝王三国/reverse_cases/apk-sanguo-diwanglianmeng-166/analysis/game_rules/resource_system/resource_field_mapping.csv
global/player,scriptPages/data/i,n,总产粮/小时,int,readInt in i.x/i.b/i.z,总产粮/小时,high,q.u labels i.n as di_标题总产粮; i.A uses n*(now-H)/3600000 to add e,由服务端按封地/建筑/buff计算；客户端只做显示侧本地递增,/Users/huangchangwei/Desktop/gitSpaceC/Toy/帝王三国/reverse_cases/apk-sanguo-diwanglianmeng-166/analysis/game_rules/resource_system/resource_field_mapping.csv
global/player,scriptPages/data/i,G/H,铜钱/粮食本地递增起算时间,long timestamp,set PageMain.getCurTime after sync,铜钱/粮食本地递增起算时间,high,i.A reads G/H and m/n to increment d/e per hour,服务端可不依赖；用于客户端显示平滑增长,/Users/huangchangwei/Desktop/gitSpaceC/Toy/帝王三国/reverse_cases/apk-sanguo-diwanglianmeng-166/analysis/game_rules/resource_system/resource_field_mapping.csv
global/player,scriptPages/data/i,i,当前声望,long,readLong in i.x; typed update in i.b type=1; award m0.u,当前声望,high,k0.o first row di_标题声望 uses i.i; q0.V re_声望升级 uses i/i.j/i.k; m0.u award success writes i.i,声望奖励、升级阈值由服务端权威计算,/Users/huangchangwei/Desktop/gitSpaceC/Toy/帝王三国/reverse_cases/apk-sanguo-diwanglianmeng-166/analysis/game_rules/resource_system/resource_field_mapping.csv
global/player,scriptPages/data/i,j,当前等级声望下限/上一级阈值,long,readLong in i.x; typed update in i.b type=12; also old k on k change,当前等级声望下限/上一级阈值,medium-high,q0.V computes i-j and k-j for声望升级进度; i.b type=2 moves old k to j when next threshold changes,配合君主等级/声望阈值表使用,/Users/huangchangwei/Desktop/gitSpaceC/Toy/帝王三国/reverse_cases/apk-sanguo-diwanglianmeng-166/analysis/game_rules/resource_system/resource_field_mapping.csv
global/player,scriptPages/data/i,k,下一级声望阈值,long,readLong in i.x; typed update in i.b type=2,下一级声望阈值,medium-high,q0.V uses k-j as总进度、k-i as剩余声望; i.b type=2 updates k,需继续恢复完整等级阈值表,/Users/huangchangwei/Desktop/gitSpaceC/Toy/帝王三国/reverse_cases/apk-sanguo-diwanglianmeng-166/analysis/game_rules/resource_system/resource_field_mapping.csv
global/player,scriptPages/data/i,o,战功候选,long,readLong in i.x; typed update in i.b type=4,战功候选,medium,data.g.w0(-6) returns i.o; data.g resource name table includes 战功 after 声望,需结合战功排行榜/战报动态样本复核,/Users/huangchangwei/Desktop/gitSpaceC/Toy/帝王三国/reverse_cases/apk-sanguo-diwanglianmeng-166/analysis/game_rules/resource_system/resource_field_mapping.csv
global/player,scriptPages/data/i,q,人口当前占用/人口当前值候选,long,readLong in i.x/i.z; typed update in i.b type=6,人口当前占用/人口当前值候选,medium-high,q.u label di_人口占用 displays i.q/i.r; q.p0 uses q/r in征兵可招计算,人口/征兵公式需后续联动验证,/Users/huangchangwei/Desktop/gitSpaceC/Toy/帝王三国/reverse_cases/apk-sanguo-diwanglianmeng-166/analysis/game_rules/resource_system/resource_field_mapping.csv
global/player,scriptPages/data/i,r,人口上限候选,long,readLong in i.x/i.z; typed update in i.b type=7,人口上限候选,medium-high,q.u label di_人口占用 displays i.q/i.r; q.p0 uses q/r,由房屋/科技/称号等计算后下发,/Users/huangchangwei/Desktop/gitSpaceC/Toy/帝王三国/reverse_cases/apk-sanguo-diwanglianmeng-166/analysis/game_rules/resource_system/resource_field_mapping.csv
global/player,scriptPages/data/i,u,资源点当前数量候选,int,readByte in i.x; typed update in i.b type=13,资源点当前数量候选,medium,k0.o label di_标题资源点 value u/v,需结合资源点占领动态样本确认,/Users/huangchangwei/Desktop/gitSpaceC/Toy/帝王三国/reverse_cases/apk-sanguo-diwanglianmeng-166/analysis/game_rules/resource_system/resource_field_mapping.csv
global/player,scriptPages/data/i,v,资源点上限候选,byte,readByte in i.x; typed update in i.b type=14,资源点上限候选,medium,k0.o label di_标题资源点 value u/v,同上,/Users/huangchangwei/Desktop/gitSpaceC/Toy/帝王三国/reverse_cases/apk-sanguo-diwanglianmeng-166/analysis/game_rules/resource_system/resource_field_mapping.csv
global/player,scriptPages/data/i,s,封地上限候选,int,readByte in i.x; typed update in i.b type=8,封地上限候选,medium,k0.o label di_标题封地 uses Lo/a.s2().length / i.s,需与角色等级/官职/成长规则结合,/Users/huangchangwei/Desktop/gitSpaceC/Toy/帝王三国/reverse_cases/apk-sanguo-diwanglianmeng-166/analysis/game_rules/resource_system/resource_field_mapping.csv
global/player,scriptPages/data/i,t,将领上限候选,int,readByte in i.x; typed update in i.b type=9,将领上限候选,medium,q.L label di_将领 displays current generals / i.t,需与将领系统验证,/Users/huangchangwei/Desktop/gitSpaceC/Toy/帝王三国/reverse_cases/apk-sanguo-diwanglianmeng-166/analysis/game_rules/resource_system/resource_field_mapping.csv
global/player,scriptPages/data/g,F,黄金,long,readInt in i.b; readLong in i.z; displayed in g0.e,黄金,high,g0.e appends g.F after di_标题黄金; data.g.w0(-4) returns g.F,充值/购买/消耗均应服务端权威,/Users/huangchangwei/Desktop/gitSpaceC/Toy/帝王三国/reverse_cases/apk-sanguo-diwanglianmeng-166/analysis/game_rules/resource_system/resource_field_mapping.csv
global/player,scriptPages/data/g,G,白银,long,readInt in i.b; readLong in i.z; displayed in g0.e,白银,high,g0.e appends g.G after di_标题白银; data.g.w0(-3) returns g.G,商城白银购买消耗字段；服务端权威,/Users/huangchangwei/Desktop/gitSpaceC/Toy/帝王三国/reverse_cases/apk-sanguo-diwanglianmeng-166/analysis/game_rules/resource_system/resource_field_mapping.csv
