protocol,response_opcode_hex,handler,group,order,field,io,target_cache,evidence,meaning,confidence
reqCityGarrisonList/repair_city,0x8304 signed -31996,LscriptPages/game/k;->r0(String),header,1,status,readByte,local result v0,k.r0 000000,"业务状态码；0 视为成功；-8 会继续调用 Lo/a.f6(0,dis) 读取通用同步块；其他非 0 主要显示 message。",high
reqCityGarrisonList/repair_city,0x8304 signed -31996,LscriptPages/game/k;->r0(String),header,2,message,readUTF,toast/message,k.r0 000008 and 000306,服务端提示文案；函数末尾统一 r0.d0(message) 显示。,high
reqCityGarrisonList/repair_city,0x8304 signed -31996,LscriptPages/game/k;->r0(String),header/ignored,3,unknown_byte,readByte,discarded,k.r0 000010,读取但未保存；可能是业务子类型/兼容字段。,low
reqCityGarrisonList/repair_city,0x8304 signed -31996,LscriptPages/game/k;->r0(String),header/ignored,4,unknown_int_1,readInt,discarded,k.r0 000016,读取但未保存；协议占位/兼容字段。,low
reqCityGarrisonList/repair_city,0x8304 signed -31996,LscriptPages/game/k;->r0(String),header/ignored,5,unknown_int_2,readInt,discarded,k.r0 00001c,读取但未保存；协议占位/兼容字段。,low
reqCityGarrisonList/repair_city,0x8304 signed -31996,LscriptPages/game/k;->r0(String),resource_sync,6,gold,readLong,scriptPages/data/g.F,k.r0 000022-00002a,成功/响应同步后的黄金余额。,high
reqCityGarrisonList/repair_city,0x8304 signed -31996,LscriptPages/game/k;->r0(String),resource_sync,7,food,readLong,scriptPages/data/i.e,k.r0 00002e-000036,成功/响应同步后的粮食余额。,high
reqCityGarrisonList/repair_city,0x8304 signed -31996,LscriptPages/game/k;->r0(String),resource_sync,8,contribution,readLong,scriptPages/data/i.p,k.r0 00003a-000042; i.p refs in country UI show di_贡献,修筑/国家相关贡献值余额或累计贡献字段；字段 i.p 已由 UI 文案确认是贡献。,high
reqCityGarrisonList/repair_city,0x8304 signed -31996,LscriptPages/game/k;->r0(String),city_sync_gate,9,city_id_or_-1,readLong,data.b city index / k/w/s0 city caches,k.r0 000046-00005c,若为 -1 则没有城池道路/城墙状态同步；否则用 data.b.l(city_id) 定位城池并继续读取三组 current/max 和贡献额度。,high
reqCityGarrisonList/repair_city,0x8304 signed -31996,LscriptPages/game/k;->r0(String),city_sync,10.1,wall_current,readInt,data.b.v[index][0] / k.Y0[0] / k.w2,k.r0 00006a-000072; k.n1 stores first array to Y0; road_wall_formula_report confirms Y0 wall,城墙/城防当前值。,high
reqCityGarrisonList/repair_city,0x8304 signed -31996,LscriptPages/game/k;->r0(String),city_sync,10.2,wall_max,readInt,data.b.v[index][1] / k.Y0[1] / k.x2,k.r0 000076-000080; k.d uses Y0[1]-Y0[0] as wall_gap,城墙/城防上限值。,high
reqCityGarrisonList/repair_city,0x8304 signed -31996,LscriptPages/game/k;->r0(String),city_sync,11.1,road_current,readInt,data.b.w[index][0] / k.Z0[0] / k.u2,k.r0 000088-000090; k.n1 stores second array to Z0; k.d uses Z0[1]-Z0[0] as road_gap,道路当前值。,high
reqCityGarrisonList/repair_city,0x8304 signed -31996,LscriptPages/game/k;->r0(String),city_sync,11.2,road_max,readInt,data.b.w[index][1] / k.Z0[1] / k.v2,k.r0 000094-00009c; k.d uses Z0[1]-Z0[0] as road_gap,道路上限值。,high
reqCityGarrisonList/repair_city,0x8304 signed -31996,LscriptPages/game/k;->r0(String),city_sync,12.1,tower_current_candidate,readInt,data.b.x[index][0] / k.a1[0] / k.J2,k.r0 0000a4-0000ac; k.n1 third array to a1; D1 has 修筑炮塔分支,炮塔当前值候选。,medium
reqCityGarrisonList/repair_city,0x8304 signed -31996,LscriptPages/game/k;->r0(String),city_sync,12.2,tower_max_candidate,readInt,data.b.x[index][1] / k.a1[1] / k.K2,k.r0 0000b0-0000b8; D1/k.d 有炮塔相关分支,炮塔上限值候选。,medium
reqCityGarrisonList/repair_city,0x8304 signed -31996,LscriptPages/game/k;->r0(String),contribution_limits,13,wall_contrib_limit_or_used_pair,readInt x2 reordered to k.b1/k.c1,k.r0 0000bc and 0000d4 -> n1 v4[0/1] -> b1/c1,修墙贡献额度/已用值二元组；D1 使用 b1 限制本次修墙贡献显示，另一字段 c1 语义待样本确认。,medium-high
reqCityGarrisonList/repair_city,0x8304 signed -31996,LscriptPages/game/k;->r0(String),contribution_limits,14,road_contrib_limit_or_used_pair,readInt x2 reordered to k.d1/k.e1,k.r0 0000c4 and 0000dc -> n1 v5[0/1] -> d1/e1,修路贡献额度/已用值二元组；D1 使用 d1 限制本次修路贡献显示，另一字段 e1 语义待样本确认。,medium-high
reqCityGarrisonList/repair_city,0x8304 signed -31996,LscriptPages/game/k;->r0(String),contribution_limits,15,tower_contrib_limit_or_used_pair,readInt x2 reordered to k.f1/k.g1,k.r0 0000cc and 0000e4 -> n1 v6[0/1] -> f1/g1,修塔贡献额度/已用值二元组候选。,medium
reqCityGarrisonList/repair_city,0x8304 signed -31996,LscriptPages/game/k;->r0(String),cache_update,16,multi_cache_update,derived,data.b.v/w/x; k.Y0/Z0/a1; k/w panel caches; s0.h0,k.r0 000118-0002d4,响应会同时更新 data.b 城池缓存、当前 cityinfo repair 面板缓存、neighbor/role city list 缓存以及 s0 地图城市摘要。,high
